source_id,source_name,iso3_country,subsector,heat_case,status,available_land_km2,replaceable_heat_mwh_th,lat,lon,site,n_bands,n_rep_days,total_load_MW,S_opt_MW,solar_per_load_MWdc_per_MWth,storage_energy_MWh_total,LCOH_total_$perMWh,LCOH_served_$perMWh,LCOH_solar_$perMWh,LCOH_converter_$perMWh,LCOH_storage_$perMWh,Reliability_%,Unserved_MWh,met_availability_target,include_converter_cost,hp_load_MW,ihb_load_MW,solve_seconds,project_start_year
38480613,Agrana Zucker Gmbh,AUT,food-beverage-tobacco,low,ok,43.270022798336754,353047.35188597476,48.243057,16.702778,38480613,4,16,40.302209119403514,231.02400429319007,5.732291339383763,658.4593934623637,52.11734594314239,57.908162159047095,35.981003090732685,0.0,21.92715906831441,90.0,35304.73518859745,True,False,33.670567762993144,6.631641356410368,1.7718801498413086,2025
38480528,Bunge Austria Gmbh,AUT,food-beverage-tobacco,low,ok,36.42091645673013,353047.35188597476,48.022446,16.754778,38480528,4,16,40.302209119403514,231.41789140536483,5.742064677391309,658.4593934623637,52.17255755675599,57.96950839639554,36.04234932808114,0.0,21.92715906831441,90.0,35304.73518859745,True,False,33.670567762993144,6.631641356410368,3.243178129196167,2025
38473498,Getzner Textil Ag,AUT,textiles-leather-apparel,low,ok,4.618969477575685,31089.614263615957,47.1518218,9.8236408,38473498,3,16,3.5490427241570726,16.723078251891415,4.711996882444769,61.85579141936678,47.67107249231522,52.96785832479468,29.576719736124623,0.0,23.39113858867006,90.0,3108.961426361595,True,False,3.1941384517413653,0.3549042724157072,2.1925840377807617,2025
38480620,Agrana Zucker Gmbh,AUT,food-beverage-tobacco,low,ok,36.45453302204089,353047.35188597476,48.32478,16.038471,38480620,4,16,40.302209119403514,260.6153568037793,6.466527828081413,672.2873215790495,56.67963188863317,62.97736876514796,40.5897300037648,0.0,22.387638761383162,90.0,35304.73518859747,True,False,33.670567762993144,6.631641356410368,3.0550928115844727,2025
32437244,Gmunden Cement Plant,AUT,cement,low,ok,14.80172333164063,195351.29036278868,47.9225966590857,13.7778374280392,32437244,3,16,22.300375612190493,325.0346807870331,14.575300723157012,393.0758633893718,103.62954749471422,115.14394166079357,91.48766336510889,0.0,23.656278295684693,90.0,19535.12903627887,True,False,0.0,22.300375612190493,0.8786900043487549,2025
38479269,Eibetex,AUT,textiles-leather-apparel,low,ok,46.23470514471369,31089.614263615957,48.81547,15.2833,38479269,3,16,3.5490427241570726,19.075739094459916,5.374897000990757,57.2419356090267,49.84565123505192,55.384056927835445,33.73767559166115,0.0,21.64638133617429,90.00000000000003,3108.9614263615886,True,False,3.1941384517413653,0.3549042724157072,1.3386731147766113,2025
38472832,Hefel Textil Gmbh,AUT,textiles-leather-apparel,low,ok,16.49106055800039,31089.614263615957,48.4366178,14.5399221,38472832,3,16,3.5490427241570726,23.95517783644695,6.749757525710403,60.29897836192216,58.652958666193335,65.16995407354814,42.367533681634306,0.0,22.80242039191384,90.0,3108.961426361595,True,False,3.1941384517413653,0.3549042724157072,1.0725016593933105,2025
38479518,Heratex (#),AUT,textiles-leather-apparel,low,ok,0.9774050187327664,31089.614263615957,47.4596131,13.9909218,38479518,3,16,3.5490427241570726,17.951749317059353,5.058194761891192,56.49582765238495,47.80260391561557,53.11400435068397,31.749768214101316,0.0,21.364236136582647,90.0,3108.9614263615945,True,False,3.1941384517413653,0.3549042724157072,0.5343592166900635,2025
32267416,Austria,AUT,chemicals,low,ok,0.1034028660886277,243416.09298035371,47.6139487927463,14.076158884337072,32267416,3,16,27.787225226067783,5.1701433044313845,0.18606187780063638,9.723324561166901,1.4737652396264052,20.210985724871165,14.4146501748018,0.0,5.796335550069364,7.291901838379037,225666.4304214089,False,False,19.451057658247446,8.336167567820334,3.6745541095733643,2025
32437240,Kirchdorfer Cement Plant,AUT,cement,low,ok,15.141498944780658,88313.57061368848,47.9087598061799,14.1163799202923,32437240,3,16,10.081457832612841,147.82863162891303,14.663418136878706,186.09205613557668,105.13280721327484,116.81423023697204,92.04076730692779,0.0,24.773462930044243,90.00000000000001,8831.357061368839,True,False,0.0,10.081457832612841,0.3960890769958496,2025
38475947,Huber,AUT,textiles-leather-apparel,low,ok,2.2606753905488857,31089.614263615957,47.4223539,13.8752059,38475947,3,16,3.5490427241570726,19.37445383852209,5.45906469557187,60.02238431357149,51.267431021402984,56.963812246003314,34.265987552718684,0.0,22.697824693284627,90.0,3108.961426361596,True,False,3.1941384517413653,0.3549042724157072,0.7798089981079102,2025
32437243,Gartenau Cement Plant,AUT,cement,low,ok,7.468797314325792,225150.87431647044,47.7235279928077,13.0492860026401,32437243,3,16,25.702154602336808,373.4398657162896,14.529515968374765,457.99250891841035,103.60378312651082,137.49526440835527,108.93082530907695,0.0,28.564439099278324,75.35080104199942,55497.88696594464,False,False,0.0,25.702154602336808,1.802673101425171,2025
38480512,Jungbunzlauer Austria Ag,AUT,food-beverage-tobacco,low,ok,72.05021153886173,548234.7521263981,48.721222,16.27811,38480512,4,16,62.58387581351576,364.0310433260618,5.816690618695188,1043.317576240617,52.995951318626766,58.88439035402974,36.51076868532064,0.0,22.37362166870911,89.99999999999999,54823.47521263985,True,False,52.285834387058486,10.29804142645728,0.6001143455505371,2025
38477448,Gottstein Gmbh & Co.Kg (#),AUT,textiles-leather-apparel,low,ok,0.2512594019495345,31089.614263615957,47.2581587,10.677482,38477448,3,16,3.5490427241570726,12.562970097476725,3.5398193467678065,53.99892815813582,38.37519048050788,63.04750015831813,32.85382555687279,0.0,30.193674601445352,60.86710874205038,12166.264942296828,False,False,3.1941384517413653,0.3549042724157072,2.4419679641723633,2025
44375328,"Laakirchen Papier AG, Heinzel Group",AUT,pulp-and-paper,low,ok,40.316376107409866,144891.2338956738,47.9770957,13.8161934,44375328,4,16,16.540095193570068,136.01373195917694,8.223273830494762,275.9078606188401,66.60385444469327,74.00428271632585,51.61664395494269,0.0,22.387638761383162,90.00000000000001,14489.12338956737,True,False,16.096491107918762,0.44360408565130455,0.7931430339813232,2025
1895156,Mannersdorf Cement Plant,AUT,cement,low,ok,35.03897925470447,241746.4197870127,47.9836888240867,16.6070562287626,1895156,3,16,27.596623263357614,338.49065667303813,12.265654875336903,460.34349837702825,89.44010344728122,99.37789271920136,76.99025395781818,0.0,22.387638761383176,89.99999999999999,24174.64197870128,True,False,0.0,27.596623263357614,0.5795876979827881,2025
18648341,"OMV AG , Schwechat ",AUT,petrochemical-steam-cracking,low,ok,25.047162586873135,1358977.6262981645,48.139922,16.512808,18648341,1,16,155.13443222581787,1252.3581293436569,8.072728351631767,2741.2387123988756,66.94790627461902,82.0845360630198,55.915499412855034,0.0,26.16903665016476,81.55970598800761,250599.46984657695,False,False,0.0,155.13443222581787,0.7290780544281006,2025
44375331,"Papierfabrik Wattens GmbH & Co KG, delfort",AUT,pulp-and-paper,low,ok,8.92910202451627,50259.25402242923,47.2969362,11.5903444,44375331,4,16,5.737357765117492,38.654204067311326,6.73728319721051,93.49876873982315,57.744552026820664,64.16061336313408,42.28923360480017,0.0,21.871379758333912,90.0,5025.925402242922,True,False,5.615656236766515,0.12170152835097706,0.8187682628631592,2025
44375330,Mondi Neusiedler GmbH,AUT,pulp-and-paper,low,ok,28.416716387600523,144891.2338956738,48.0732305,14.8091594,44375330,4,16,16.54009519357007,133.99485408158765,8.101214201818976,275.9078606188402,65.91431428440575,73.23812698267307,50.85048822128989,0.0,22.38763876138317,89.99999999999999,14489.123389567387,True,False,16.001580466337558,0.5385147272325139,1.1606779098510742,2025
45257135,Linz Melamine and Fertilizers Complex,AUT,chemicals,low,ok,6.565008556343828,621445.6116509959,48.2895958,14.3307955,45257135,2,16,70.94127986883515,328.2504278171914,4.627072255026983,1041.3773336880386,43.87031553049339,68.21936061904916,40.64720512058174,0.0,27.572155498467414,64.30772017268558,221808.10668503912,False,False,0.0,70.94127986883515,1.595700979232788,2025
32437242,Retznei Cement Plant,AUT,cement,low,ok,18.75571759841429,153666.98015244937,46.7375344612225,15.5733587435471,32437242,3,16,17.541892711466822,192.34842220185175,10.965089421400748,306.323006801128,83.03655673569483,92.26284081743869,68.82673838486271,0.0,23.436102432575982,90.00000000000001,15366.69801524492,True,False,0.0,17.541892711466822,1.1234829425811768,2025
44375329,UPM-Kymmene Steyrermuhl Austria GmbH,AUT,pulp-and-paper,low,ok,39.98951078659333,144891.2338956738,47.9915494,13.8000831,44375329,4,16,16.54009519357007,136.15087950943652,8.23156565400935,275.9078606188402,66.6506966756369,74.05632963959654,51.66869087821338,0.0,22.38763876138316,90.0,14489.123389567381,True,False,16.18924468946404,0.3508505041060318,0.787851095199585,2025
38472842,Seibersdorfer Bettfedern- Und Daunenfabrik Gmbh,AUT,textiles-leather-apparel,low,ok,47.22625642071392,31089.614263615957,47.9170893,16.4255328,38472842,3,16,3.5490427241570726,18.182558084464862,5.123228852868592,56.358625081648476,48.12329940740935,53.470332674899275,32.157980513497876,0.0,21.312352161401407,90.0,3108.961426361595,True,False,3.1941384517413653,0.3549042724157072,1.0555500984191895,2025
32437245,Vils Cement Plant,AUT,cement,low,ok,8.651024394979322,50391.76813195058,47.5523694919457,10.6384596501965,32437245,3,16,5.752484946569701,79.65468416925809,13.847004365784123,107.85715605775258,100.87199224536305,112.07999138373673,86.91622204537646,0.0,25.16376933836028,89.99999999999999,5039.176813195067,True,False,0.0,5.752484946569701,0.6950290203094482,2025
38469184,Stölzle-Oberglas Gmbh,AUT,glass,low,ok,7.726610735152181,59602.02914899514,47.066387,15.0775,38469184,5,16,6.803884606049673,64.54925579869997,9.487117953368289,113.49664095539188,73.74357204435469,81.93730227150523,59.549663510122066,0.0,22.38763876138317,89.99999999999999,5960.202914899526,True,False,1.515465825267721,5.288418780781952,1.4289641380310059,2025
38469169,Vetropack Austria Gmbh,AUT,glass,low,ok,21.1547321380589,72157.79067537565,48.210835,15.220556,38469169,5,16,8.237190716367085,99.78723382435017,12.114231327201823,137.4058396559727,88.58468041523422,98.42742268359359,76.03978392221042,0.0,22.387638761383165,89.99999999999999,7215.779067537571,True,False,1.8347138068402031,6.4024769095268805,1.0521090030670166,2025
38469123,Vetropack Austria Gmbh,AUT,glass,low,ok,37.724697791569966,82382.28479775357,48.0565,14.144222,38469123,5,16,9.404370410702462,128.51550168460764,13.66550827670006,164.47293023289623,98.32393652810032,109.24881836455587,85.77698976361462,0.0,23.471828600941244,90.00000000000003,8238.228479775338,True,False,2.0946860199401938,7.3096843907622695,1.17848801612854,2025
32437246,Wietersdorf Cement Plant,AUT,cement,low,ok,9.41952548714073,97445.0164636579,46.8508788768487,14.533475311296,32437246,3,16,11.123860326901585,139.23683297192625,12.516952647742293,204.1227790466156,92.87550152639594,103.19500169599547,78.56762422570559,0.0,24.627377470289883,90.00000000000001,9744.501646365785,True,False,0.0,11.123860326901585,0.7591419219970703,2025
