source_id,source_name,iso3_country,subsector,status,available_land_km2,replaceable_heat_mwh_th,site,n_bands,n_rep_days,total_load_MW,S_opt_MW,solar_per_load_MWdc_per_MWth,storage_energy_MWh_total,LCOH_total_$perMWh,LCOH_served_$perMWh,LCOH_solar_$perMWh,LCOH_converter_$perMWh,LCOH_storage_$perMWh,Reliability_%,Unserved_MWh,hp_load_MW,ihb_load_MW,solve_seconds,project_start_year
38473498,Getzner Textil Ag,AUT,textiles-leather-apparel,ok,21.160949912337244,36576.016780724654,38473498,3,16,4.175344381361262,5.566369557737772,1.333152202387436,4.110912971449678,261.31156990775366,196.4872269969285,7.53125331688192,180.70431553878436,1.1892432966824986,96.40566211222975,1314.665628986789,3.7578099432251353,0.4175344381361262,0.06406617164611816,2025
32437243,Gartenau Cement Plant,AUT,cement,ok,49.91480968510381,264883.38154878875,32437243,3,16,30.237828943925653,900.2472905713437,29.772219832343172,262.9424553779924,918.6689713719203,297.8633699193029,168.18944525743626,10.533269359141563,10.50351933750613,63.527863129108184,96608.62946672081,0.0,30.237828943925653,0.07099699974060059,2025
38479269,Eibetex,AUT,textiles-leather-apparel,ok,332.2041151049733,36576.016780724654,38479269,3,16,4.175344381361262,7.023150400027965,1.6820529658294319,3.9923970817161925,258.0025543374059,197.95758678542202,9.50226609939055,180.70431553878439,1.1549579132665109,96.66794926070177,1218.7314375479782,3.7578099432251353,0.4175344381361262,0.0929567813873291,2025
32437244,Gmunden Cement Plant,AUT,cement,ok,147.63736056491788,229825.04748563375,32437244,3,16,26.235736014341754,558.1374414374579,21.273938765520143,226.28869172229844,819.2515832230089,213.53271721380784,120.1808927773155,10.533269359141562,10.418239340871173,66.09404091271598,77924.38657281008,0.0,26.235736014341754,0.07613492012023926,2025
32267416,Austria,AUT,chemicals,ok,9.418273606154258,286371.8740945338,32267416,3,16,32.69085320713857,213.8695010575068,6.542181683126123,86.30009912188875,384.48264234892315,213.2690901884301,36.95814132283813,152.6857593839012,3.1886714270226775,90.41749648924193,27441.594888932348,22.883597244997,9.80725596214157,0.09589600563049316,2025
38480528,Bunge Austria Gmbh,AUT,food-beverage-tobacco,ok,273.4198319738671,415349.8257482056,38480528,4,16,47.414363669886484,179.6948727484411,3.789882618683498,68.79191616066507,296.9647121445899,204.16408031971665,21.409833019394664,170.4514997523141,1.7524765338347041,94.83245485804768,21463.389742558822,39.61243266234487,7.80193100754161,0.12950396537780762,2025
38480620,Agrana Zucker Gmbh,AUT,food-beverage-tobacco,ok,286.3091393362083,415349.8257482056,38480620,4,16,47.414363669886484,119.50927454533507,2.5205289135038433,72.08664352573109,300.79123386581057,197.8293178174997,14.238990646475271,170.45149975231408,1.836409831741047,94.28678331823599,23729.835532324214,39.61243266234487,7.80193100754161,0.1634070873260498,2025
38480613,Agrana Zucker Gmbh,AUT,food-beverage-tobacco,ok,315.26353372658104,415349.8257482056,38480613,4,16,47.414363669886484,110.04065711780657,2.320829567258221,73.80967911317474,299.56463361680306,196.66452424504067,13.11084761742118,170.45149975231405,1.8803042251884512,94.29390089890603,23700.272673413732,39.61243266234487,7.80193100754161,0.1758122444152832,2025
38477448,Gottstein Gmbh & Co.Kg (#),AUT,textiles-leather-apparel,ok,14.418529156251196,36576.016780724654,38477448,3,16,4.175344381361262,16.90432498859471,4.048606161459548,3.6013215601490915,269.74478803591506,211.50492052650873,22.87141597758813,180.70431553878436,1.0418239340871172,96.74363837072721,1191.047375963888,3.7578099432251353,0.4175344381361262,0.09126591682434082,2025
38472832,Hefel Textil Gmbh,AUT,textiles-leather-apparel,ok,132.3164881514449,36576.016780724654,38472832,3,16,4.175344381361262,6.890891902229722,1.6503768965718528,3.601321560149106,263.355714306257,198.2342671214927,9.323321413828989,180.7043155387844,1.0418239340871214,96.38568732902216,1321.9716090447073,3.7578099432251353,0.4175344381361262,0.0849151611328125,2025
