source_id,source_name,iso3_country,lat,lon,classification,replaceable_heat_mwh_th,available_land_km2,solar_capacity_factor,storage_type,project_start,steam_temp_c,status,load_target_mw,feasible_load_mw,max_solar_land_mw,exceeds_land_limit,site,load_MW,storage_technology,S_opt_MW,Heat_TES_power_MW,Heat_TES_charge_power_MW,Heat_TES_discharge_power_MW,Heat_TES_energy_MWh,TES_temp_max_C,TES_temp_min_C,TES_usable_energy_fraction_linear,TES_charge_discharge_ratio_min,TES_round_trip_efficiency,TES_electric_to_heat_efficiency,TES_max_storage_hours,TES_cost_model,TES_project_start_year,TES_process_temperature_c,TES_capex_kwh_input,TES_opex_frac_input,TES_lifetime_years_input,TES_discount_rate_input,TES_energy_capex_input_$/MWh,TES_power_capex_input_$/MW,TES_fixed_om_input_$/MWyr,TES_capex_input_includes_crf,Battery_capacity_MW,Battery_energy_MWh,LCOE_total_$perMWh,LCOE_solar_$perMWh,LCOE_batt_$perMWh,LCOE_TES_$perMWh,LCOE_unserved_$perMWh,Reliability_%,Unserved_MWh,Unserved_hours
44375327,Ybbstaler Zellstoff Pulp Mill,AUT,48.0250129,14.7628564,Pulp,283120.5429082484,12.116394579159492,0.1532892191780822,heat,2030,175.0,completed,32.319696679023785,32.319696679023785,1211.6,False,44375327.0,32.319696679023785,heat_TES,298.9281835401593,114.98542442571436,459.9416977028574,114.98542442571436,1379.8250931085722,1500.0,175.0,0.8833333333333333,4.0,0.97,0.98,12.0,battery_params,2030.0,175.0,20.0,0.02,25.0,0.07,20000.0,0.0,0.0,False,114.98542442571436,1379.8250931085722,55.72907680051247,45.41544817603038,10.313628624482096,10.313628624482096,0.0,89.99999999999979,28312.054290825425,988.0
44375328,Laakirchen Papier AG Pulp Mill,AUT,47.9770957,13.8161934,Paper/Board,0.0,32.91475791131133,0.1572709292237443,heat,2030,180.0,skipped_no_load,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44375329,UPM-Kymmene Steyrermuhl Austria Pulp Mill,AUT,47.9915494,13.8000831,Paper/Board,0.0,33.080947910672535,0.1573083436073059,heat,2030,180.0,skipped_no_load,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44375330,Mondi Neusiedler Pulp Mill,AUT,48.0732305,14.8091594,Integrated,365164.45979022817,20.05287447312442,0.1545876974885844,heat,2030,180.0,completed,41.68544061532285,41.68544061532285,2005.3,False,44375330.0,41.68544061532285,heat_TES,376.89955960716907,145.62457879074535,582.4983151629814,145.62457879074535,1747.4949454889445,1500.0,180.0,0.88,4.0,0.97,0.98,12.0,battery_params,2030.0,180.0,20.0,0.02,25.0,0.07,20000.0,0.0,0.0,False,145.62457879074535,1747.4949454889445,54.52327102877526,44.39614397326152,10.127127055513748,10.127127055513748,0.0,89.99999999999993,36516.44597902307,995.0
44375331,Papierfabrik Wattens GmbH & Co KG - Delfort,AUT,47.2969362,11.5903444,Paper/Board,0.0,4.990803723929136,0.165162558219178,heat,2030,180.0,skipped_no_load,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44375332,Burgo Ardennes Pulp Mill,BEL,49.5518274,5.5054045,Integrated,63582.37509397494,4.127360079500804,0.1419328333333333,heat,2030,180.0,completed,7.258261997029102,7.258261997029102,412.7,False,44375332.0,7.258261997029102,heat_TES,104.84807783181228,29.39065639372396,117.56262557489585,29.39065639372396,352.68787672468756,1500.0,180.0,0.88,4.0,0.97,0.98,12.0,battery_params,2030.0,180.0,20.0,0.02,25.0,0.07,20000.0,0.0,0.0,False,29.39065639372396,352.68787672468756,74.99711609398175,63.258615731722145,11.738500362259604,11.738500362259604,0.0,89.99999999999989,6358.237509397562,967.0
44375333,Svilocell EAD - Subsidiary of Svilosa AD,BGR,43.618351,25.3506224,Pulp,62272.56440329452,12.612911087435627,0.1765106415525114,heat,2030,175.0,completed,7.108740228686589,7.108740228686589,1261.3,False,44375333.0,7.108740228686589,heat_TES,47.62039594382566,19.587950773929737,78.35180309571895,19.587950773929737,235.05540928715683,1500.0,175.0,0.8833333333333333,4.0,0.97,0.98,12.0,battery_params,2030.0,175.0,20.0,0.02,25.0,0.07,20000.0,0.0,0.0,False,19.587950773929737,235.05540928715683,44.44351052468749,36.45561580073952,7.987894723947966,7.987894723947966,0.0,90.00000000000007,6227.256440329407,971.0
44375502,OP Papírna s.r.o. - Delfort,CZE,49.9596659,16.8653919,Paper/Board,76792.65681726599,9.533838956003944,0.1366260114155251,heat,2030,180.0,completed,8.766285024802054,8.766285024802054,953.4,False,44375502.0,8.766285024802054,heat_TES,104.02426468331096,37.02534314595132,148.10137258380527,37.02534314595132,444.30411775141584,1500.0,180.0,0.88,4.0,0.97,0.98,12.0,battery_params,2030.0,180.0,20.0,0.02,25.0,0.07,20000.0,0.0,0.0,False,37.02534314595132,444.30411775141584,71.25838483398262,59.01449317793076,12.243891656051852,12.243891656051852,0.0,89.9999999999996,7679.265681726896,979.0
44375503,Biocel Paskov Pulp Mill,CZE,49.717969,18.2946046,Pulp,147544.03325544298,19.85814965261346,0.1370148310502283,heat,2030,175.0,completed,16.84292617071267,16.84292617071267,1985.8,False,44375503.0,16.84292617071267,heat_TES,196.88783377877093,77.49188466195089,309.96753864780356,77.49188466195089,929.9026159434106,1500.0,175.0,0.8833333333333333,4.0,0.97,0.98,12.0,battery_params,2030.0,175.0,20.0,0.02,25.0,0.07,20000.0,0.0,0.0,False,77.49188466195089,929.9026159434106,71.47294487807787,58.13543815729117,13.337506720786688,13.337506720786688,0.0,90.00000000000009,14754.403325544175,969.0
44375504,Sappi Alfeld Kraft Pulp and Paper Mill,DEU,51.987118,9.819078,Integrated,314379.43535741617,10.537675049292954,0.1321588287671233,heat,2030,180.0,completed,35.888063396965315,35.888063396965315,1053.8,False,44375504.0,35.888063396965315,heat_TES,573.8292213186227,165.7139038055648,662.8556152222592,165.7139038055648,1988.5668456667777,1500.0,180.0,0.88,4.0,0.97,0.98,12.0,battery_params,2030.0,180.0,20.0,0.02,25.0,0.07,20000.0,0.0,0.0,False,165.7139038055648,1988.5668456667777,78.96230185547341,65.57648441301545,13.385817442457958,13.385817442457958,0.0,89.99999999999983,31437.943535742157,960.0
