source_id,source_name,source_type,iso3_country,sector,subsector,lat,lon,year,capacity_units,annual_capacity_t,capacity_factor,annual_emissions_co2e_t,production_t,production_source,production_year,data_tier,fuel_energy_tj,useful_heat_tj,useful_heat_mwh,heat_method,food_country_scale,ct_country_artifact,SiteID,SiteName,CompanyName,match_confidence,distance_km,name_similarity,annual_output_t,production_2014_t,bench_heat_tj,band_source,heat_below100C_tj,heat_100C-200C_tj,heat_200C-500C_tj,heat_500C-1000C_tj,heat_above1000C_tj,bench_heat_mwh,fossil_share,fossil_share_basis,replaceable_heat_mwh,available_land_km2,bare_sparse_km2,cropland_km2,grassland_km2,shrubland_km2,tree_cover_km2,built_up_km2,snow_ice_km2,water_km2,wetland_km2,mangroves_km2,moss_lichen_km2,classification,solar_capacity_factor,process_temp_c,replaceable_heat_mwh_th,has_solar_data,has_land_data,has_replaceable_heat,heat_bound_low_factor,heat_bound_high_factor,heat_bound_rationale,replaceable_heat_mwh_th_low,replaceable_heat_mwh_th_high
38480613,Agrana Zucker Gmbh,Animal And Vegetable Products From The Food And Beverage Sector,AUT,manufacturing,food-beverage-tobacco,48.243057,16.702778,2024,USD,,,200029.63951204813,,none,,3.0,1849.169025107623,1571.7936713414797,436609.3531504109,emissions_fuel_inversion,0.5383057860559275,False,,,,unmatched,,,,,1571.7936713414797,benchmark,762.824634990498,550.3337867613056,116.18501056836098,142.45023902131496,0.0,436609.35315041104,0.9513076684024186,country,415349.8257482056,43.270022798336754,0.2698302597038717,39.88048884644825,3.119703692184629,0.0,4.372385876500988,3.0313024885165345,,0.0761667288818359,0.0029995275878906,,,,0.1587508378995434,175.48230668414152,415349.8257482056,True,True,True,0.85,1.4,Country-rescale residual uncertainty (not full unscaled CT; that blows PT/ES),353047.35188597476,581489.7560474878
38480620,Agrana Zucker Gmbh,Animal And Vegetable Products From The Food And Beverage Sector,AUT,manufacturing,food-beverage-tobacco,48.32478,16.038471,2024,USD,,,200029.63951204813,,none,,3.0,1849.169025107623,1571.7936713414797,436609.3531504109,emissions_fuel_inversion,0.5383057860559275,False,,,,unmatched,,,,,1571.7936713414797,benchmark,762.824634990498,550.3337867613056,116.18501056836098,142.45023902131496,0.0,436609.35315041104,0.9513076684024186,country,415349.8257482056,36.45453302204089,0.0700797481689453,31.206105107996823,5.178348165875125,0.0,4.107751740342802,6.053506045639937,,0.2950024744202856,0.0,,,,0.1570441267123287,175.48230668414152,415349.8257482056,True,True,True,0.85,1.4,Country-rescale residual uncertainty (not full unscaled CT; that blows PT/ES),353047.35188597476,581489.7560474878
32267416,Austria,soda_ash,AUT,manufacturing,chemicals,47.6139487927463,14.076158884337072,2024,t of chemical,182256.0,0.7782408388805239,60281.60149067872,141839.06233100875,climate_trace,2024.0,1.0,1418.3906233100874,1205.6320298135745,334897.7860593262,production_sec,,False,,,,unmatched,,,141839.06233100875,,1607.036576210329,benchmark,482.1109728630987,642.8146304841316,0.0,0.0,482.1109728630987,446399.0489473136,0.8551023208132043,country,286371.8740945338,0.1034028660886277,0.0520565096227309,0.0006066891479492,0.0507396673179476,0.0,0.2497566380217906,0.0,0.0,0.0,,,0.0,,0.157747649543379,468.0,286371.8740945338,True,True,True,0.85,1.4,SEC/η uncertainty; high ≈ Hotmaps/METHODS gap (~+40%),243416.09298035371,400920.6237323473
38480528,Bunge Austria Gmbh,Animal And Vegetable Products From The Food And Beverage Sector,AUT,manufacturing,food-beverage-tobacco,48.022446,16.754778,2024,USD,,,200029.63951204813,,none,,3.0,1849.169025107623,1571.7936713414797,436609.3531504109,emissions_fuel_inversion,0.5383057860559275,False,,,,unmatched,,,,,1571.7936713414797,benchmark,762.824634990498,550.3337867613056,116.18501056836098,142.45023902131496,0.0,436609.35315041104,0.9513076684024186,country,415349.8257482056,36.42091645673013,0.086115482055664,32.16503896003082,4.16976201464365,0.0,3.0200472633135633,4.70900687312658,,0.0192744935302734,0.0024084029541015,,,,0.1583873162100456,175.48230668414152,415349.8257482056,True,True,True,0.85,1.4,Country-rescale residual uncertainty (not full unscaled CT; that blows PT/ES),353047.35188597476,581489.7560474878
38469135,D.Swarovski Kg,Glass Manufacturing,AUT,manufacturing,glass,47.29778,11.598611,2024,USD,,,25206.02131318956,,none,,,,,,,,False,1675.0,Swarovski Wattens,D. Swarovski KG,high,0.4591019206069721,1.0,,,,,,,,,,,0.9994199378915112,country,,9.276187701897118,0.0201493514404296,5.123500969626274,4.1325373808304136,0.0,2.65146728442335,3.701051215663056,,0.6449729431640626,,,,,,,,False,True,False,0.85,2.0,Furnace η 40–50% (low); high capped Hotmaps/METHODS gap (~2.7× raw),,
38479269,Eibetex,Packaging|Product Finishing|Filling|Filling Of Product,AUT,manufacturing,textiles-leather-apparel,48.81547,15.2833,2024,USD,,,9237.590048999526,,none,,3.0,158.63970546109437,134.8437496419302,37456.59712275839,emissions_fuel_inversion,,False,,,,unmatched,,,,,134.8437496419302,external,74.16406230306161,47.19531237467557,13.48437496419302,0.0,0.0,37456.59712275839,0.976490647584783,country,36576.016780724654,46.23470514471369,0.0195744064331054,37.35426558033621,8.860865157944374,0.0,5.933309951026585,3.095062999657006,,0.0556436517592486,0.001187215270996,,,,0.1544553287671232,120.5,36576.016780724654,True,True,True,0.85,1.2,Fuel EF / gas–oil mix (±); no food-style country rescale,31089.614263615957,43891.22013686958
32437243,Gartenau Cement Plant,integrated dry,AUT,manufacturing,cement,47.7235279928077,13.0492860026401,2024,t of cement,1100000.00004,0.5916168853212139,367592.27747500007,650778.573877,climate_trace,2024.0,1.0,1822.1800068556,1093.30800411336,303696.66780926666,production_sec,,False,19.0,Zementwerk Leube GmbH,,high,0.3355028850689858,0.3333333333333333,650778.573877,450023.16,1753.8482565985153,benchmark,0.0,0.0,175.38482565985151,1052.3089539591092,526.1544769795546,487180.0712773653,0.8721971941922848,country,264883.38154878875,7.468797314325792,0.0720905214233398,0.969691707763672,6.42701508513878,0.0,3.344152693266027,3.954604654277728,,0.1915606452789905,,,,,0.1221055456621004,875.0000000000001,264883.38154878875,True,True,True,0.85,1.6,Kiln η 50–60% (low); high ≈ Hotmaps/METHODS SEC gap (~+60%),225150.87431647044,423813.410478062
38473498,Getzner Textil Ag,Dyeing,AUT,manufacturing,textiles-leather-apparel,47.1518218,9.8236408,2024,USD,,,9237.590048999526,,none,,3.0,158.63970546109437,134.8437496419302,37456.59712275839,emissions_fuel_inversion,,False,,,,unmatched,,,,,134.8437496419302,external,74.16406230306161,47.19531237467557,13.48437496419302,0.0,0.0,37456.59712275839,0.976490647584783,country,36576.016780724654,4.618969477575685,0.0220464434204101,1.154612048148361,3.4423109860069134,0.0,3.5604842866737534,3.6901212170508297,0.0,0.2267213548248889,,,0.0,,0.170441955479452,120.5,36576.016780724654,True,True,True,0.85,1.2,Fuel EF / gas–oil mix (±); no food-style country rescale,31089.614263615957,43891.22013686958
32437244,Gmunden Cement Plant,integrated dry,AUT,manufacturing,cement,47.9225966590857,13.7778374280392,2024,t of cement,799999.9999800002,0.7058069091251451,286642.30191299994,564645.5272860001,climate_trace,2024.0,1.0,1581.0074764008,948.60448584048,263501.24606679997,production_sec,,False,5.0,Zementwerk Hatschek GmbH,Zementwerk Hatschek GmbH,high,0.0237142204426301,0.303030303030303,564645.5272860001,607683.04,1521.7196960357703,benchmark,0.0,0.0,152.17196960357705,913.0318176214624,456.5159088107312,422699.9155654918,0.8721971941922848,country,229825.04748563375,14.80172333164063,0.0555116739501953,9.184557339680277,5.561654318010158,0.0,4.136750946524347,4.8331108152607065,,8.658094170005409,,,,,0.1553502602739725,875.0000000000002,229825.04748563375,True,True,True,0.85,1.6,Kiln η 50–60% (low); high ≈ Hotmaps/METHODS SEC gap (~+60%),195351.29036278868,367720.075977014
38477448,Gottstein Gmbh & Co.Kg (#),Cut & Sew|Cutting|Embroidery|Washing|Ironing|Knit Composite|Packaging|Product Finishing|Knitting Seamless|Milling|Quality Control|Labelling,AUT,manufacturing,textiles-leather-apparel,47.2581587,10.677482,2024,USD,,,9237.590048999526,,none,,3.0,158.63970546109437,134.8437496419302,37456.59712275839,emissions_fuel_inversion,,False,,,,unmatched,,,,,134.8437496419302,external,74.16406230306161,47.19531237467557,13.48437496419302,0.0,0.0,37456.59712275839,0.976490647584783,country,36576.016780724654,0.2512594019495345,0.007942415649414,0.01480741795391,0.2285095683462105,0.0,0.6162343393277038,0.0980397703993853,0.0,0.0024430161132812,,,0.0080489588785807,,0.1005551267123287,120.5,36576.016780724654,True,True,True,0.85,1.2,Fuel EF / gas–oil mix (±); no food-style country rescale,31089.614263615957,43891.22013686958
