source_id,source_name,source_type,iso3_country,country_corrected,classification,nace_used,lat,lon,keep_in_analysis,in_heat_workbook,status_flag,annual_output_t,annual_capacity_t,capacity_factor,annual_emissions_co2e_t,sec_mwh_per_t,fossil_share,fossil_share_source,replace_frac,heat_demand_mwh_th,replaceable_heat_mwh_th,available_land_km2,bare_sparse_km2,cropland_km2,tree_cover_km2,built_up_km2,solar_year,annual_yield_kwh_per_kwp,solar_capacity_factor,pvgis_raddatabase,tilt_deg,azimuth_deg,system_loss_pct,has_replaceable_heat,has_land_data,has_solar_data,sector,subsector,gas,activity_units,capacity_units,emissions_factor,emissions_factor_units,temporal_granularity,year,months_reported,shrubland_km2,grassland_km2,snow_ice_km2,water_km2,wetland_km2,mangroves_km2,moss_lichen_km2
44375502,OP Papírna s.r.o. - Delfort,Pulp misc. (known types include mechanical and semi-chemical wood pulp),CZE,Czechia,Paper/Board,C17xP,49.9596659,16.8653919,True,True,NEEDS_VERIFICATION,219922.8387,272160.0,0.808064515983497,127775.16931,1.3,0.2686,eu27_fallback,1.0,285899.69031,76792.65681726599,9.533838956003944,0.0058017028559666,9.528037253147977,5.78832615630529,1.9272711945176069,2023,1196.84386,0.1366260114155251,PVGIS-ERA5,49.9596659,0,0.0,True,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000265201,t of CO2e_100yr per t of pulp & paper,month,2024,12,,7.009416886319268,,0.0330417616577148,,,
44375507,Dynos GmbH - Niederlassung Bad Durkheim,Semi-chemical wood pulp,DEU,Germany,Paper/Board,C17xP,49.4515534,8.0629732,True,True,NEEDS_VERIFICATION,164844.49998,199499.99999,0.826288220666294,95774.654497,1.3,0.4109911762686635,country,1.0,214297.849974,88074.52543265984,0.0,0.0,0.0,0.0,0.0,2023,1264.94172,0.1443997397260274,PVGIS-ERA5,49.4515534,0,0.0,True,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000023635,t of CO2e_100yr per t of pulp & paper,month,2024,12,,0.0,,0.0,,,
44375511,Essity Operations Mannheim GmbH Pulp Mill,Pulp misc. (known types include mechanical and semi-chemical wood pulp),DEU,Germany,Tissue,C17xP,49.5342827,8.4594229,True,True,,164844.49998,199499.99999,0.826288220666294,95774.654497,2.6,0.4109911762686635,country,1.0,428595.699948,176149.05086531967,2.5696311654416575,0.0309994011230468,2.5386317643186107,7.146092773694326,26.65534066134105,2023,1280.53477,0.1461797682648402,PVGIS-ERA5,49.5342827,0,0.0,True,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000023635,t of CO2e_100yr per t of pulp & paper,month,2024,12,,3.7137934409545896,,2.5581935088398056,,,
44375510,GRuNPERGA Papier Pulp Mill,Mechanical and semi-chemical wood pulp,DEU,Germany,Paper/Board,C17xP,50.7786198,13.1594074,True,True,,54016.841809,65372.881356,0.826288220594382,31383.785094,1.3,0.4109911762686635,country,1.0,70221.8943517,28860.578959419,6.801003028523525,0.0302011365356445,6.77080189198788,6.140250513338932,1.027685055174106,2023,1231.9304,0.1406313242009132,PVGIS-ERA5,50.7786198,0,0.0,True,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000064696,t of CO2e_100yr per t of pulp & paper,month,2024,12,,4.484814380093207,,0.0142524920654296,,,
44375506,Heinrich Schaller Pappenfabrik e.K. Pulp Mill,Pulp misc.,DEU,Germany,Paper/Board,C17xP,50.0210149,12.0200894,True,True,,164844.49998,199499.99999,0.826288220666294,95774.654497,1.3,0.4109911762686635,country,1.0,214297.849974,88074.52543265984,4.843722062887516,0.0156242749633789,4.828097787924137,3.006491208691166,3.4447050270756736,2023,1225.49028,0.1398961506849315,PVGIS-ERA5,50.0210149,0,0.0,True,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000023635,t of CO2e_100yr per t of pulp & paper,month,2024,12,,2.7781489484590427,,0.0248888308105468,,,
44375515,Katz GmbH & Co. KG,Chemical wood pulp; Mechanical and semi-chemical wood pulp; Mechanical wood pulp,DEU,Germany,Integrated,C17,48.7236271,8.3557998,True,True,,164844.49998,199499.99999,0.826288220666294,95774.654497,5.0,0.3814254468854693,country,1.0,824222.4998999999,314379.43535741617,0.0035628172607421,0.0017815802001953,0.0017812370605468,0.923779395468558,0.5140039176405963,2023,1120.16691,0.1278729349315068,PVGIS-ERA5,48.7236271,0,0.0,True,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000023635,t of CO2e_100yr per t of pulp & paper,month,2024,12,,0.0848716076861213,,0.0,,,
44375508,Lenk Paper GmbH - Papierfabrik Schleipen,Chemical wood pulp; Mechanical and semi-chemical wood pulp,DEU,Germany,Paper/Board,C17xP,49.4648466,8.109916,True,True,NEEDS_VERIFICATION,164844.49998,199499.99999,0.826288220666294,95774.654497,1.3,0.4109911762686635,country,1.0,214297.849974,88074.52543265984,0.0255173519689223,0.0,0.0255173519689223,0.0943507510167738,0.4938608817430683,2023,1202.66388,0.1372903972602739,PVGIS-ERA5,49.4648466,0,0.0,True,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000023635,t of CO2e_100yr per t of pulp & paper,month,2024,12,,0.1213382292164522,,0.0,,,
44375512,Mercer Rosenthal GmbH - MR - Mercer International Group,Chemical wood pulp; Pulp from fibres other than wood,DEU,Germany,Pulp,C1711,50.4034989,11.7007465,True,True,,164844.49998,199499.99999,0.826288220666294,95774.654497,3.3,0.1231966956799959,country,1.0,543986.8499339999,67017.38240523859,5.637548474568683,0.0011495335693359,5.636398940999347,2.453646869550158,0.5686712790383731,2023,1198.6555899999998,0.1368328299086758,PVGIS-ERA5,50.4034989,0,0.0,True,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000023635,t of CO2e_100yr per t of pulp & paper,month,2024,12,,2.8652465176985196,,0.0361999637451171,0.0005746989746093,,
44375504,Sappi Alfeld Kraft Pulp and Paper Mill,Pulp misc.,DEU,Germany,Integrated,C17,51.987118,9.819078,True,True,,164844.49998,199499.99999,0.826288220666294,95774.654497,5.0,0.3814254468854693,country,1.0,824222.4998999999,314379.43535741617,10.537675049292954,0.010544603149414,10.52713044614354,5.402071536778347,3.5785119731514725,2023,1157.71134,0.1321588287671233,PVGIS-ERA5,51.987118,0,0.0,True,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000023635,t of CO2e_100yr per t of pulp & paper,month,2024,12,,4.709516013409543,,0.058280828125,,,
44375514,Sappi Stockstadt GmbH - Division of Sappi Fine Paper Europe,"Pulp misc. (known types include chemical wood pulp, mechanical and semi-chemical wood pulp)",DEU,Germany,Integrated,C17,49.9773198,9.0663252,False,True,CLOSED,164844.49998,199499.99999,0.826288220666294,95774.654497,5.0,0.3814254468854693,country,1.0,0.0,,6.228424695813466,0.1426767570334042,6.085747938780061,15.11908365887595,11.752939198538984,2023,1246.50044,0.1422945707762557,PVGIS-ERA5,49.9773198,0,0.0,False,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000023635,t of CO2e_100yr per t of pulp & paper,month,2024,12,,5.719434936137359,,1.6536708017673865,,,
