source_id,source_name,iso3_country,subsector,replaceable_heat_mwh_th,available_land_km2,solar_capacity_factor,green_lcoh_eur_mwh,gas_benchmark_eur_mwh,lcoh_ratio_vs_gas,below_gas,hp_heat_share,ihb_heat_share,pv_required_mwdc,land_required_km2,local_fit_fraction,land_matched_heat_mwh,green_and_local_heat_mwh,low_temp_hp_solar,steam_hp_solar,ihb_solar
38480613,Agrana Zucker Gmbh,AUT,food-beverage-tobacco,415349.8257482056,43.270022798336754,0.1587508378995434,64.09489893905531,81.36235294117647,0.7877709606726194,True,0.8354521625163828,0.1645478374836173,169.39823622861968,3.3879647245723934,1.0,415349.8257482056,415349.8257482056,53.349436392914654,71.02415458937199,81.04347826086956
38480620,Agrana Zucker Gmbh,AUT,food-beverage-tobacco,415349.8257482056,36.45453302204089,0.1570441267123287,64.09489893905531,81.36235294117647,0.7877709606726194,True,0.8354521625163828,0.1645478374836173,171.2392083866897,3.4247841677337942,1.0,415349.8257482056,415349.8257482056,53.349436392914654,71.02415458937199,81.04347826086956
32267416,Austria,AUT,chemicals,286371.8740945338,0.1034028660886277,0.157747649543379,68.72753623188407,81.36235294117647,0.8447093004005533,True,0.7000000000000001,0.30000000000000004,138.15674719197182,2.7631349438394364,0.03742230046316419,10716.69431656507,10716.69431656507,53.349436392914654,71.02415458937199,81.04347826086956
38480528,Bunge Austria Gmbh,AUT,food-beverage-tobacco,415349.8257482056,36.42091645673013,0.1583873162100456,64.09489893905531,81.36235294117647,0.7877709606726194,True,0.8354521625163828,0.1645478374836173,169.78702956450843,3.395740591290169,1.0,415349.8257482056,415349.8257482056,53.349436392914654,71.02415458937199,81.04347826086956
38479269,Eibetex,AUT,textiles-leather-apparel,36576.016780724654,46.23470514471369,0.1544553287671232,62.30499194847022,81.36235294117647,0.7657717567916899,True,0.9,0.09999999999999999,14.175040893756096,0.28350081787512194,1.0,36576.016780724654,36576.016780724654,53.349436392914654,71.02415458937199,81.04347826086956
32437243,Gartenau Cement Plant,AUT,cement,264883.38154878875,7.468797314325792,0.1221055456621004,81.04347826086956,81.36235294117647,0.9960808080300056,True,0.0,1.0,260.67033608174773,5.213406721634954,1.0,264883.38154878875,264883.38154878875,53.349436392914654,71.02415458937199,81.04347826086956
38473498,Getzner Textil Ag,AUT,textiles-leather-apparel,36576.016780724654,4.618969477575685,0.170441955479452,62.30499194847022,81.36235294117647,0.7657717567916899,True,0.9,0.09999999999999999,12.84549097887147,0.2569098195774294,1.0,36576.016780724654,36576.016780724654,53.349436392914654,71.02415458937199,81.04347826086956
32437244,Gmunden Cement Plant,AUT,cement,229825.04748563375,14.80172333164063,0.1553502602739725,81.04347826086956,81.36235294117647,0.9960808080300056,True,0.0,1.0,177.76966821245685,3.555393364249137,1.0,229825.04748563375,229825.04748563375,53.349436392914654,71.02415458937199,81.04347826086956
38477448,Gottstein Gmbh & Co.Kg (#),AUT,textiles-leather-apparel,36576.016780724654,0.2512594019495345,0.1005551267123287,62.30499194847022,81.36235294117647,0.7657717567916899,True,0.9,0.09999999999999999,21.773236960817016,0.4354647392163403,0.5769913825897807,21104.046491937337,21104.046491937337,53.349436392914654,71.02415458937199,81.04347826086956
38472832,Hefel Textil Gmbh,AUT,textiles-leather-apparel,36576.016780724654,16.49106055800039,0.152754946347032,62.30499194847022,81.36235294117647,0.7657717567916899,True,0.9,0.09999999999999999,14.332829501694583,0.28665659003389166,1.0,36576.016780724654,36576.016780724654,53.349436392914654,71.02415458937199,81.04347826086956
