Year,Month,Day,Hour,Load_MW,Solar_available_MW (112.3 MW),Solar_used_MW,TES_charge_MW,TES_discharge_MW,"TES_usable_SOC_MWh (P_ch=137.9, P_dis=34.5 MW, E=413.6 MWh)",Curtail_MW,Unserved_MW
2023,1,1,0,21.065203854720192,0.0,-0.0,-0.0,0.0,0.0,0.0,21.065203854720192
2023,1,1,1,21.065203854720192,0.0,-0.0,0.0,-0.0,0.0,0.0,21.065203854720192
2023,1,1,2,21.065203854720192,0.0,-0.0,0.0,0.0,-0.0,0.0,21.065203854720192
2023,1,1,3,21.065203854720192,0.0,-0.0,0.0,-0.0,0.0,0.0,21.065203854720192
2023,1,1,4,21.065203854720192,0.0,-0.0,0.0,-0.0,0.0,0.0,21.065203854720192
2023,1,1,5,21.065203854720192,0.0,-0.0,0.0,-0.0,0.0,0.0,21.065203854720192
2023,1,1,6,21.065203854720192,0.0,-0.0,0.0,-0.0,0.0,0.0,21.065203854720192
2023,1,1,7,21.065203854720192,0.0,-0.0,0.0,-0.0,0.0,0.0,21.065203854720192
2023,1,1,8,21.065203854720192,1.0768752387434535,1.0768752387434533,0.0,-0.0,0.0,2.220446049250313e-16,20.023865498855272
2023,1,1,9,21.065203854720192,43.38942567783842,43.38942567783842,21.60534723448765,0.0,20.85322328174796,0.0,0.0
2023,1,1,10,21.065203854720192,60.18710732159579,60.18710732159579,38.40302887824502,0.0,57.91936839859821,0.0,0.0
2023,1,1,11,21.065203854720192,67.9632919183616,67.9632919183616,46.17921347501083,0.0,102.4909940761867,0.0,0.0
2023,1,1,12,21.065203854720192,57.241701950142115,57.241701950142115,35.45762350679135,0.0,136.71426908317176,0.0,0.0
2023,1,1,13,21.065203854720192,58.845224203453526,58.845224203453526,37.061145760102754,0.0,172.48524463033505,0.0,0.0
2023,1,1,14,21.065203854720192,13.874734567168,13.874734567168,0.0,7.909343876182768,164.4545226569298,0.0,0.0
2023,1,1,15,21.065203854720192,5.868352448043053,5.868352448043053,0.0,15.915725995307715,148.29455130227666,0.0,0.0
2023,1,1,16,21.065203854720192,1.760730317361559,1.760730317361559,0.0,20.02334812598921,127.96392156941806,0.0,0.0
2023,1,1,17,21.065203854720192,0.0,-0.0,0.0,21.78407844335077,105.84554106099192,0.0,0.0
2023,1,1,18,21.065203854720192,0.0,-0.0,0.0,21.78407844335077,83.72716055256578,0.0,0.0
2023,1,1,19,21.065203854720192,0.0,-0.0,0.0,21.78407844335077,61.608780044139635,0.0,0.0
2023,1,1,20,21.065203854720192,0.0,-0.0,0.0,21.78407844335077,39.49039953571349,0.0,0.0
2023,1,1,21,21.065203854720192,0.0,-0.0,0.0,21.78407844335077,17.372019027287354,0.0,0.0
2023,1,1,22,21.065203854720192,0.0,-0.0,0.0,17.109454512984954,0.0,0.0,4.520361340663742
2023,1,1,23,21.065203854720192,0.0,-0.0,0.0,-0.0,0.0,0.0,21.065203854720192
2023,1,2,0,21.065203854720192,0.0,-0.0,0.0,-0.0,0.0,0.0,21.065203854720192
2023,1,2,1,21.065203854720192,0.0,-0.0,0.0,-0.0,0.0,0.0,21.065203854720192
2023,1,2,2,21.065203854720192,0.0,-0.0,0.0,0.0,-0.0,0.0,21.065203854720192
2023,1,2,3,21.065203854720192,0.0,-0.0,0.0,-0.0,0.0,0.0,21.065203854720192
2023,1,2,4,21.065203854720192,0.0,-0.0,0.0,-0.0,0.0,0.0,21.065203854720192
2023,1,2,5,21.065203854720192,0.0,-0.0,0.0,-0.0,0.0,0.0,21.065203854720192
2023,1,2,6,21.065203854720192,0.0,-0.0,0.0,0.0,-0.0,0.0,21.065203854720192
2023,1,2,7,21.065203854720192,0.0,-0.0,0.0,-0.0,0.0,0.0,21.065203854720192
2023,1,2,8,21.065203854720192,1.7989094186308785,1.7989094186308785,0.0,-0.0,0.0,0.0,19.325658446904132
2023,1,2,9,21.065203854720192,29.031837771087854,29.031837771087854,7.247759327737086,0.0,6.9954507980513405,0.0,0.0
2023,1,2,10,21.065203854720192,51.76524674748119,51.76524674748119,29.981168304130424,0.0,35.932916607242845,0.0,0.0
2023,1,2,11,21.065203854720192,69.80936375620752,69.80936375620752,48.02528531285675,0.0,82.28634878907013,0.0,0.0
2023,1,2,12,21.065203854720192,77.01510766341998,77.01510766341998,55.23102922006921,0.0,135.59467898653025,0.0,0.0
2023,1,2,13,21.065203854720192,86.59357042304632,86.59357042304632,64.80949197969555,0.0,198.1480271165676,0.0,0.0
2023,1,2,14,21.065203854720192,72.83674190391592,72.83674190391592,51.05266346056516,0.0,247.42344855352127,0.0,0.0
2023,1,2,15,21.065203854720192,56.35684513248847,56.35684513248847,34.57276668913771,0.0,280.79267032124835,0.0,0.0
