source_id,source_name,source_type,iso3_country,sector,subsector,lat,lon,year,capacity_units,annual_capacity_t,capacity_factor,annual_emissions_co2e_t,production_t,production_source,production_year,data_tier,fuel_energy_tj,useful_heat_tj,useful_heat_mwh,heat_method,food_country_scale,ct_country_artifact,SiteID,SiteName,CompanyName,match_confidence,distance_km,name_similarity,annual_output_t,production_2014_t,bench_heat_tj,band_source,heat_below100C_tj,heat_100C-200C_tj,heat_200C-500C_tj,heat_500C-1000C_tj,heat_above1000C_tj,bench_heat_mwh,fossil_share,fossil_share_basis,replaceable_heat_mwh
38480613,Agrana Zucker Gmbh,Animal And Vegetable Products From The Food And Beverage Sector,AUT,manufacturing,food-beverage-tobacco,48.243057,16.702778,2024,USD,,,200029.63951204813,,none,,3.0,1849.169025107623,1571.7936713414797,436609.3531504109,emissions_fuel_inversion,0.5383057860559275,False,,,,unmatched,,,,,1571.7936713414797,benchmark,762.824634990498,550.3337867613056,116.18501056836098,142.45023902131496,0.0,436609.35315041104,0.9513076684024186,country,415349.8257482056
38480620,Agrana Zucker Gmbh,Animal And Vegetable Products From The Food And Beverage Sector,AUT,manufacturing,food-beverage-tobacco,48.32478,16.038471,2024,USD,,,200029.63951204813,,none,,3.0,1849.169025107623,1571.7936713414797,436609.3531504109,emissions_fuel_inversion,0.5383057860559275,False,,,,unmatched,,,,,1571.7936713414797,benchmark,762.824634990498,550.3337867613056,116.18501056836098,142.45023902131496,0.0,436609.35315041104,0.9513076684024186,country,415349.8257482056
32267416,Austria,soda_ash,AUT,manufacturing,chemicals,47.6139487927463,14.076158884337072,2024,t of chemical,182256.0,0.7782408388805239,60281.60149067872,141839.06233100875,climate_trace,2024.0,1.0,1418.3906233100874,1205.6320298135745,334897.7860593262,production_sec,,False,,,,unmatched,,,141839.06233100875,,1607.036576210329,benchmark,482.1109728630987,642.8146304841316,0.0,0.0,482.1109728630987,446399.0489473136,0.8551023208132043,country,286371.8740945338
38480528,Bunge Austria Gmbh,Animal And Vegetable Products From The Food And Beverage Sector,AUT,manufacturing,food-beverage-tobacco,48.022446,16.754778,2024,USD,,,200029.63951204813,,none,,3.0,1849.169025107623,1571.7936713414797,436609.3531504109,emissions_fuel_inversion,0.5383057860559275,False,,,,unmatched,,,,,1571.7936713414797,benchmark,762.824634990498,550.3337867613056,116.18501056836098,142.45023902131496,0.0,436609.35315041104,0.9513076684024186,country,415349.8257482056
38469135,D.Swarovski Kg,Glass Manufacturing,AUT,manufacturing,glass,47.29778,11.598611,2024,USD,,,25206.02131318956,,none,,,,,,,,False,1675.0,Swarovski Wattens,D. Swarovski KG,high,0.4591019206069721,1.0,,,,,,,,,,,0.9994199378915112,country,
38479269,Eibetex,Packaging|Product Finishing|Filling|Filling Of Product,AUT,manufacturing,textiles-leather-apparel,48.81547,15.2833,2024,USD,,,9237.590048999526,,none,,3.0,158.63970546109437,134.8437496419302,37456.59712275839,emissions_fuel_inversion,,False,,,,unmatched,,,,,134.8437496419302,external,74.16406230306161,47.19531237467557,13.48437496419302,0.0,0.0,37456.59712275839,0.976490647584783,country,36576.016780724654
32437243,Gartenau Cement Plant,integrated dry,AUT,manufacturing,cement,47.7235279928077,13.0492860026401,2024,t of cement,1100000.00004,0.5916168853212139,367592.27747500007,650778.573877,climate_trace,2024.0,1.0,1822.1800068556,1093.30800411336,303696.66780926666,production_sec,,False,19.0,Zementwerk Leube GmbH,,high,0.3355028850689858,0.3333333333333333,650778.573877,450023.16,1753.8482565985153,benchmark,0.0,0.0,175.38482565985151,1052.3089539591092,526.1544769795546,487180.0712773653,0.8721971941922848,country,264883.38154878875
38473498,Getzner Textil Ag,Dyeing,AUT,manufacturing,textiles-leather-apparel,47.1518218,9.8236408,2024,USD,,,9237.590048999526,,none,,3.0,158.63970546109437,134.8437496419302,37456.59712275839,emissions_fuel_inversion,,False,,,,unmatched,,,,,134.8437496419302,external,74.16406230306161,47.19531237467557,13.48437496419302,0.0,0.0,37456.59712275839,0.976490647584783,country,36576.016780724654
32437244,Gmunden Cement Plant,integrated dry,AUT,manufacturing,cement,47.9225966590857,13.7778374280392,2024,t of cement,799999.9999800002,0.7058069091251451,286642.30191299994,564645.5272860001,climate_trace,2024.0,1.0,1581.0074764008,948.60448584048,263501.24606679997,production_sec,,False,5.0,Zementwerk Hatschek GmbH,Zementwerk Hatschek GmbH,high,0.0237142204426301,0.303030303030303,564645.5272860001,607683.04,1521.7196960357703,benchmark,0.0,0.0,152.17196960357705,913.0318176214624,456.5159088107312,422699.9155654918,0.8721971941922848,country,229825.04748563375
38477448,Gottstein Gmbh & Co.Kg (#),Cut & Sew|Cutting|Embroidery|Washing|Ironing|Knit Composite|Packaging|Product Finishing|Knitting Seamless|Milling|Quality Control|Labelling,AUT,manufacturing,textiles-leather-apparel,47.2581587,10.677482,2024,USD,,,9237.590048999526,,none,,3.0,158.63970546109437,134.8437496419302,37456.59712275839,emissions_fuel_inversion,,False,,,,unmatched,,,,,134.8437496419302,external,74.16406230306161,47.19531237467557,13.48437496419302,0.0,0.0,37456.59712275839,0.976490647584783,country,36576.016780724654
