source_id,source_name,source_type,iso3_country,sector,subsector,lat,lon,year,capacity_units,annual_capacity_t,capacity_factor,annual_emissions_co2e_t,production_t,production_source,production_year,data_tier,fuel_energy_tj,useful_heat_tj,useful_heat_mwh,heat_method,food_country_scale,ct_country_artifact,SiteID,SiteName,CompanyName,match_confidence,distance_km,name_similarity,annual_output_t,production_2014_t
38480613,Agrana Zucker Gmbh,Animal And Vegetable Products From The Food And Beverage Sector,AUT,manufacturing,food-beverage-tobacco,48.243057,16.702778,2024,USD,,,200029.63951204813,,none,,3,1849.1690251076232,1571.7936713414797,436609.35315041104,emissions_fuel_inversion,0.5678418840543594,False,,,,unmatched,,,,
38480620,Agrana Zucker Gmbh,Animal And Vegetable Products From The Food And Beverage Sector,AUT,manufacturing,food-beverage-tobacco,48.32478,16.038471,2024,USD,,,200029.63951204813,,none,,3,1849.1690251076232,1571.7936713414797,436609.35315041104,emissions_fuel_inversion,0.5678418840543594,False,,,,unmatched,,,,
32267416,Austria,soda_ash,AUT,manufacturing,chemicals,47.6139487927463,14.076158884337072,2024,t of chemical,182256.0,0.7782408388805239,60281.60149067872,141839.06233100875,climate_trace,2024,1,1418.3906233100874,1205.6320298135743,334897.7860593262,production_sec,,False,,,,unmatched,,,141839.06233100875,
38480528,Bunge Austria Gmbh,Animal And Vegetable Products From The Food And Beverage Sector,AUT,manufacturing,food-beverage-tobacco,48.022446,16.754778,2024,USD,,,200029.63951204813,,none,,3,1849.1690251076232,1571.7936713414797,436609.35315041104,emissions_fuel_inversion,0.5678418840543594,False,,,,unmatched,,,,
38469135,D.Swarovski Kg,Glass Manufacturing,AUT,manufacturing,glass,47.29778,11.598611,2024,USD,,,25206.02131318956,,none,,,,,,,,False,1675.0,Swarovski Wattens,D. Swarovski KG,high,0.4591019206069721,1.0,,
38479269,Eibetex,Packaging|Product Finishing|Filling|Filling Of Product,AUT,manufacturing,textiles-leather-apparel,48.81547,15.2833,2024,USD,,,9237.590048999526,,none,,3,150.38811638582865,127.82989892795435,35508.305257765096,emissions_fuel_inversion,,False,,,,unmatched,,,,
32437243,Gartenau Cement Plant,integrated dry,AUT,manufacturing,cement,47.7235279928077,13.0492860026401,2024,t of cement,1100000.00004,0.5916168853212139,367592.27747500007,650778.573877,climate_trace,2024,1,1822.1800068556001,1093.30800411336,303696.66780926666,production_sec,,False,19.0,Zementwerk Leube GmbH,,high,0.3355028850689858,0.3333333333333333,650778.573877,450023.16
38473498,Getzner Textil Ag,Dyeing,AUT,manufacturing,textiles-leather-apparel,47.1518218,9.8236408,2024,USD,,,9237.590048999526,,none,,3,150.38811638582865,127.82989892795435,35508.305257765096,emissions_fuel_inversion,,False,,,,unmatched,,,,
32437244,Gmunden Cement Plant,integrated dry,AUT,manufacturing,cement,47.9225966590857,13.7778374280392,2024,t of cement,799999.9999800002,0.7058069091251451,286642.30191299994,564645.5272860001,climate_trace,2024,1,1581.0074764008,948.6044858404799,263501.24606679997,production_sec,,False,5.0,Zementwerk Hatschek GmbH,Zementwerk Hatschek GmbH,high,0.0237142204426301,0.303030303030303,564645.5272860001,607683.04
38477448,Gottstein Gmbh & Co.Kg (#),Cut & Sew|Cutting|Embroidery|Washing|Ironing|Knit Composite|Packaging|Product Finishing|Knitting Seamless|Milling|Quality Control|Labelling,AUT,manufacturing,textiles-leather-apparel,47.2581587,10.677482,2024,USD,,,9237.590048999526,,none,,3,150.38811638582865,127.82989892795435,35508.305257765096,emissions_fuel_inversion,,False,,,,unmatched,,,,
38472832,Hefel Textil Gmbh,Cut & Sew|Washing|Ironing|Packaging|Product Finishing,AUT,manufacturing,textiles-leather-apparel,48.4366178,14.5399221,2024,USD,,,9237.590048999526,,none,,3,150.38811638582865,127.82989892795435,35508.305257765096,emissions_fuel_inversion,,False,,,,unmatched,,,,
38479518,Heratex (#),Cut & Sew|Packaging|Product Finishing,AUT,manufacturing,textiles-leather-apparel,47.4596131,13.9909218,2024,USD,,,9237.590048999526,,none,,3,150.38811638582865,127.82989892795435,35508.305257765096,emissions_fuel_inversion,,False,,,,unmatched,,,,
38475947,Huber,Cut & Sew|Knit Composite|Packaging|Product Finishing,AUT,manufacturing,textiles-leather-apparel,47.4223539,13.8752059,2024,USD,,,9237.590048999526,,none,,3,150.38811638582865,127.82989892795435,35508.305257765096,emissions_fuel_inversion,,False,,,,unmatched,,,,
38480512,Jungbunzlauer Austria Ag,Animal And Vegetable Products From The Food And Beverage Sector,AUT,manufacturing,food-beverage-tobacco,48.721222,16.27811,2024,USD,,,310618.95592758583,,none,,3,2871.5092089038394,2440.7828275682637,677995.2298800732,emissions_fuel_inversion,0.5678418840543594,False,,,,unmatched,,,,
32437240,Kirchdorfer Cement Plant,integrated dry,AUT,manufacturing,cement,47.9087598061799,14.1163799202923,2024,t of cement,500000.0000400001,0.5105250397791579,149882.4938,255262.51990999997,climate_trace,2024,1,714.7350557479999,428.8410334487999,119122.5092913333,production_sec,,False,11.0,Kirchdorfer Zementwerk Hofmann GmbH,Kirchdorfer Zementbeteiligungs G,high,0.1938406525718829,0.7083333333333334,255262.51990999997,373636.78
44375328,"Laakirchen Papier AG, Heinzel Group",Pulp misc.,AUT,manufacturing,pulp-and-paper,47.9770957,13.8161934,2024,t of pulp & paper,337999.99999,0.7693467454961346,151082.77519,260039.19997,climate_trace,2024,1,2730.4115996849996,2320.8498597322496,644680.5165922915,production_sec,,True,23.0,UPM Kymmene Austria GmbH,UPM Kymmene,high,0.6945624422458652,0.24,260039.19997,
45257135,Linz Melamine and Fertilizers Complex,ammonia,AUT,manufacturing,chemicals,48.2895958,14.3307955,2024,t of chemical,1499999.9999999998,0.2533333333333333,752400.0,379999.9999999999,climate_trace,2024,1,3419.999999999999,3077.999999999999,854999.9999999998,production_sec,,False,1101.0,DSM Fine Chemicals Austria Nfg GmbH & Co KG,DSM Life Science Products Intern,high,0.2355329815654893,0.2686567164179104,379999.9999999999,
1895156,Mannersdorf Cement Plant,integrated dry,AUT,manufacturing,cement,47.9836888240867,16.6070562287626,2024,t of cement,1200000.00027,0.5822887680356518,313384.321305,698746.5218000001,climate_trace,2024,1,1956.4902610400002,1173.894156624,326081.71017333335,production_sec,,False,9.0,Lafarge Zementwerke GmbH,Lafarge SA,high,0.5266588708135816,0.4324324324324324,698746.5218000001,1090132.28
44375330,Mondi Neusiedler GmbH,Chemical wood pulp; Mechanical and semi-chemical wood pulp,AUT,manufacturing,pulp-and-paper,48.0732305,14.8091594,2024,t of pulp & paper,337999.99999,0.7693467454961346,151082.77519,260039.19997,climate_trace,2024,1,2730.4115996849996,2320.8498597322496,644680.5165922915,production_sec,,True,21.0,Mondi Neusiedler GmbH,Mondi,high,0.3384405752616202,1.0,260039.19997,
18648341,"OMV AG , Schwechat ",Flex Integrated,AUT,manufacturing,petrochemical-steam-cracking,48.139922,16.512808,2024,t of ethylene,500000.00004,0.7535149998597187,626939.1607500002,376757.49996,climate_trace,2024,1,13525.594248563999,12173.0348237076,3381398.562141,production_sec,,False,13.0,Borealis Polyolefine GmbH,Borealis AG,high,0.695602730470296,0.1904761904761904,376757.49996,
44375331,"Papierfabrik Wattens GmbH & Co KG, delfort",Semi-chemical wood pulp,AUT,manufacturing,pulp-and-paper,47.2969362,11.5903444,2024,t of pulp & paper,337999.99999,0.7693467454961346,151082.77519,90201.29,hotmaps,2014,2,947.1135449999999,805.04651325,223624.0314583333,production_sec,,False,1649.0,Papierfabrik Wattens,Papierfabrik Wattens GmbH & Co KG,high,0.1807707969218689,0.6363636363636364,260039.19997,90201.29
32437242,Retznei Cement Plant,integrated dry,AUT,manufacturing,cement,46.7375344612225,15.5733587435471,2024,t of cement,625000.0000100001,0.7106571786414294,348954.88275899994,444160.736658,climate_trace,2024,1,1243.6500626424,746.1900375854399,207275.01044039996,production_sec,,False,8.0,Lafarge Zementwerke GmbH,Lafarge SA,medium,1.1689933136149415,0.4848484848484848,444160.736658,495451.61
38469146,Saint-Gobain Isover Austria Gmbh,Glass Manufacturing,AUT,manufacturing,glass,48.03389,16.019,2024,USD,,,25206.02131318956,,none,,,,,,,,False,,,,unmatched,,,,
38472842,Seibersdorfer Bettfedern- Und Daunenfabrik Gmbh,Manufacturer| Wet Processing,AUT,manufacturing,textiles-leather-apparel,47.9170893,16.4255328,2024,USD,,,9237.590048999526,,none,,3,150.38811638582865,127.82989892795435,35508.305257765096,emissions_fuel_inversion,,False,,,,unmatched,,,,
38469184,Stölzle-Oberglas Gmbh,Glass Manufacturing,AUT,manufacturing,glass,47.066387,15.0775,2024,USD,,,25206.02131318956,86351.67,hotmaps,2014,2,561.285855,252.57863475,70160.731875,production_sec,,False,1629.0,Stölzle-Oberglas Köflach,Stölzle-Oberglas GmbH,high,0.1063341260579843,1.0,,86351.67
44375329,UPM-Kymmene Steyrermuhl Austria GmbH,Chemical wood pulp,AUT,manufacturing,pulp-and-paper,47.9915494,13.8000831,2024,t of pulp & paper,337999.99999,0.7693467454961346,151082.77519,260039.19997,climate_trace,2024,1,2730.4115996849996,2320.8498597322496,644680.5165922915,production_sec,,True,1666.0,SCA Laakirchen,Laakirchen Papier AG,low,1.9458753122382697,0.25,260039.19997,
38469123,Vetropack Austria Gmbh,Glass Manufacturing,AUT,manufacturing,glass,48.0565,14.144222,2024,USD,,,25206.02131318956,119355.8,hotmaps,2014,2,775.8127000000001,349.115715,96976.58750000001,production_sec,,False,1645.0,Vetropack Kremsmünster,Vetropack Austria GmbH,high,0.25510004695422,1.0,,119355.8
38469169,Vetropack Austria Gmbh,Glass Manufacturing,AUT,manufacturing,glass,48.210835,15.220556,2024,USD,,,25206.02131318956,104542.51,hotmaps,2014,2,679.526315,305.78684175,84940.789375,production_sec,,False,1652.0,Vetropack Pöchlarn,Vetropack Austria GmbH,high,0.4475149864645707,1.0,,104542.51
32437245,Vils Cement Plant,integrated dry,AUT,manufacturing,cement,47.5523694919457,10.6384596501965,2024,t of cement,300000.00001,0.4855097439071496,114432.2190976,145652.923177,climate_trace,2024,1,407.8281848956,244.69691093735997,67971.36414926666,production_sec,,False,18.0,SCHRETTER & CIE GmbH & Co KG,Schretter & CIE GmbH & Co KG,high,0.1035962348929743,0.3333333333333333,145652.923177,294321.43
1566430,Voestalpine Stahl Donawitz steel plant,BF/BOF,AUT,manufacturing,iron-and-steel,47.3812785393747,15.0626634798431,2024,t of steel,1570000.0000000002,0.7972928842490903,2378324.6737150364,1251749.828271072,climate_trace,2024,1,6008.399175701145,4205.879422990802,1168299.839719667,production_sec,,False,1643.0,voestalpine Schienen GmbH,voestalpine Schienen GmbH,medium,1.655830761449965,0.6153846153846154,1251749.828271072,130541.98
1566429,Voestalpine Stahl Linz steel plant,BF/BOF,AUT,manufacturing,iron-and-steel,48.2800817722905,14.3312483129851,2024,t of steel,6000000.0,0.882997718386658,10066173.989607904,5297986.310319948,climate_trace,2024,1,25430.33428953575,17801.234002675024,4944787.222965284,production_sec,,False,2.0,voestalpine Stahl GmbH,voestalpine AG,high,0.8979441149694817,0.7555555555555555,5297986.310319948,8444892.86
32437246,Wietersdorf Cement Plant,integrated dry,AUT,manufacturing,cement,46.8508788768487,14.533475311296,2024,t of cement,500000.0000400001,0.563312303654935,165380.04267,281656.15185,climate_trace,2024,1,788.6372251800001,473.182335108,131439.53753,production_sec,,False,6.0,w&p Zement GmbH,w&p GmbH,high,0.048101529600784,0.5,281656.15185,729352.88
38476726,Wolford Ag,Finished Goods,AUT,manufacturing,textiles-leather-apparel,47.4177188,9.6542278,2024,USD,,,9237.590048999526,,none,,3,150.38811638582865,127.82989892795435,35508.305257765096,emissions_fuel_inversion,,False,,,,unmatched,,,,
32437239,Wopfinger Cement Plant,integrated dry,AUT,manufacturing,cement,47.8730536970234,16.0856916114804,2024,t of cement,500000.0000400001,0.3717829629922572,109149.9011907,185891.48151099996,climate_trace,2024,1,520.4961482307999,312.29768893847995,86749.35803846666,production_sec,,False,3.0,Wopfinger Baustoffindustrie,Schmid Industrieholding,high,0.0909344871977869,0.5116279069767442,185891.48151099996,477398.78
44375327,Ybbstaler Zellstoff GmbH,"Pulp misc. (known types include chemical wood pulp, mechanical and semi-chemical wood pulp)",AUT,manufacturing,pulp-and-paper,48.0250129,14.7628564,2024,t of pulp & paper,337999.99999,0.7693467454961346,151082.77519,260039.19997,climate_trace,2024,1,2730.4115996849996,2320.8498597322496,644680.5165922915,production_sec,,True,22.0,Ybbstaler Zellstoff GmbH,Mondi Neusiedler GmbH,high,0.7505832458245176,1.0,260039.19997,
38468967,3B-Fibreglass,Glass Manufacturing,BEL,manufacturing,glass,50.65116,5.803042,2024,USD,,,46519.50737093649,,none,,,,,,,,False,1724.0,3B-Fibreglass Battice,3B-Fibreglass,medium,1.2027439960056694,1.0,,
38469196,Agc Flat Glass Europe - Site De Roux  (Ex-Glaverbel Sa),Glass Manufacturing,BEL,manufacturing,glass,50.4553,4.4004,2024,USD,,,46519.50737093649,16592.46,hotmaps,2014,2,107.85099,48.5329455,13481.373749999999,production_sec,,False,1727.0,AGC Flat Glass Roux,AGC Flat Glass Europe,medium,1.30522012557714,0.6176470588235294,,16592.46
38469213,Agc Glass Europe - Site De Moustier (Ex-Glaverbel Sa),Glass Manufacturing,BEL,manufacturing,glass,50.4475,4.6926,2024,USD,,,274279.0154590416,378906.86,hotmaps,2014,2,2462.89459,1108.3025655,307861.82375,production_sec,,False,39.0,AGC GLASS EUROPE - Site de Moustier (ex-GLAVERBEL sa),AGC GLASS EUROPE sa,high,0.0,1.0,,378906.86
38469239,Agc Glass Europe Vestiging Mol,Glass Manufacturing,BEL,manufacturing,glass,51.18836,5.155452,2024,USD,,,103366.34537822088,95531.22,hotmaps,2014,2,620.95293,279.42881850000003,77619.11625,production_sec,,False,1701.0,AGC Flat Glass Europe Mol Plant,AGC Flat Glass Europe,high,0.6407779273823137,0.7272727272727273,,95531.22
38480249,Alpro,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.809956,3.211288,2024,USD,,,57693.59206699895,,none,,3,629.1901168535861,534.8115993255482,148558.77759043005,emissions_fuel_inversion,0.6698838041294086,False,,,,unmatched,,,,
32437251,Antoing Cement Plant,integrated dry,BEL,manufacturing,cement,50.5765558254982,3.44408026408596,2024,t of cement,799999.9999800002,0.4977893603299446,136233.00097690002,398231.488254,climate_trace,2024,1,1115.0481671112,669.0289002667199,185841.36118519996,production_sec,,False,27.0,CBR sa - Site d'Antoing,S.A. Cimenteries CBR,high,0.1214328779458011,0.4375,398231.488254,851461.22
45257032,Antwerp Chemical Complex,methanol,BEL,manufacturing,chemicals,51.3591321,4.2694988,2024,t of chemical,400000.00000000006,0.8899999999999999,133500.0,356000.0,climate_trace,2024,1,3204.0,2883.6,801000.0,production_sec,,False,57.0,STYROLUTION BELGIUM,STYROLUTION BELGIUM,high,0.3519490395348027,0.1395348837209302,356000.0,
1566442,Aperam Stainless Belgium Châtelet steel plant,EAF,BEL,manufacturing,iron-and-steel,50.414955940121,4.53186650417152,2024,t of steel,1000000.0,0.790175960784847,164988.74061187604,790175.960784847,climate_trace,2024,1,1975.4399019621176,1382.8079313734822,384113.31427041173,production_sec,,False,33.0,APERAM STAINLESS BELGIUM SA,Aperam Stainless Belgium SA,high,0.2824169991183768,0.7619047619047619,790175.960784847,406827.05
1566441,Aperam Stainless Belgium Genk steel plant,EAF,BEL,manufacturing,iron-and-steel,50.9330895511162,5.51202361169479,2024,t of steel,1200000.0,0.7901759607848471,197986.4887342513,948211.1529418164,climate_trace,2024,1,2370.527882354541,1659.3695176481785,460935.97712449403,production_sec,,False,30.0,APERAM STAINLESS BELGIUM,APERAM STAINLESS BELGIUM,medium,1.067203798549621,0.8135593220338984,948211.1529418164,349085.35
1566440,ArcelorMittal Gent steel plant,BF/BOF,BEL,manufacturing,iron-and-steel,51.1710954920418,3.80755559465241,2024,t of steel,5000000.0,0.7584650560773878,7205418.032735184,3792325.2803869382,climate_trace,2024,1,18203.161345857305,12742.212942100112,3539503.5950278086,production_sec,,False,56.0,ARCELORMITTAL BELGIUM - GENT,ARCELORMITTAL BELGIUM,high,0.784614690962704,0.72,3792325.2803869382,9771581.12
38471296,Avs Spinning Nv,Yarn Spinning,BEL,manufacturing,textiles-leather-apparel,50.7223824,3.3315012,2024,USD,,,14457.116642619272,,none,,3,235.36209430393603,200.05778015834562,55571.605599540446,emissions_fuel_inversion,,False,,,,unmatched,,,,
18648342,"BASF Antwerpen, NV Antwerp ",Flex Standalone,BEL,manufacturing,petrochemical-steam-cracking,51.358825,4.262207,2024,t of ethylene,1080000.0,0.753515,1409391.79809,813796.2000000001,climate_trace,2024,1,29215.283580000003,26293.755222000003,7303820.8950000005,production_sec,,False,57.0,STYROLUTION BELGIUM,STYROLUTION BELGIUM,high,0.4554957110276963,0.2926829268292683,813796.2000000001,
