source_id,source_name,source_type,iso3_country,sector,subsector,lat,lon,capacity_units,capacity,capacity_factor,annual_emissions_co2e_t,year,annual_capacity_t,annual_output_t
38476726,Wolford Ag,Finished Goods,AUT,manufacturing,textiles-leather-apparel,47.4177188,9.6542278,USD,,,9237.590048999526,2024,,
32437239,Wopfinger Cement Plant,integrated dry,AUT,manufacturing,cement,47.8730536970234,16.0856916114804,t of cement,500000.0000400001,0.3717829629922572,109149.9011907,2024,500000.0000400001,185891.48151099996
44375327,Ybbstaler Zellstoff GmbH,"Pulp misc. (known types include chemical wood pulp, mechanical and semi-chemical wood pulp)",AUT,manufacturing,pulp-and-paper,48.0250129,14.7628564,t of pulp & paper,337999.99999,0.7693467454961346,151082.77519,2024,337999.99999,260039.19997000002
38468967,3B-Fibreglass,Glass Manufacturing,BEL,manufacturing,glass,50.65116,5.803042,USD,,,46519.50737093649,2024,,
38469196,Agc Flat Glass Europe - Site De Roux  (Ex-Glaverbel Sa),Glass Manufacturing,BEL,manufacturing,glass,50.4553,4.4004,USD,,,46519.50737093649,2024,,
38469213,Agc Glass Europe - Site De Moustier (Ex-Glaverbel Sa),Glass Manufacturing,BEL,manufacturing,glass,50.4475,4.6926,USD,,,274279.0154590416,2024,,
38469239,Agc Glass Europe Vestiging Mol,Glass Manufacturing,BEL,manufacturing,glass,51.18836,5.155452,USD,,,103366.34537822088,2024,,
38480249,Alpro,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.809956,3.211288,USD,,,57693.59206699895,2024,,
32437251,Antoing Cement Plant,integrated dry,BEL,manufacturing,cement,50.5765558254982,3.44408026408596,t of cement,799999.9999800002,0.4977893603299446,136233.00097690002,2024,799999.9999800002,398231.48825399997
45257032,Antwerp Chemical Complex,methanol,BEL,manufacturing,chemicals,51.3591321,4.2694988,t of chemical,400000.00000000006,0.8899999999999999,133500.0,2024,400000.00000000006,356000.0
1566442,Aperam Stainless Belgium Châtelet steel plant,EAF,BEL,manufacturing,iron-and-steel,50.414955940121,4.53186650417152,t of steel,1000000.0,0.790175960784847,164988.74061187604,2024,1000000.0,790175.960784847
1566441,Aperam Stainless Belgium Genk steel plant,EAF,BEL,manufacturing,iron-and-steel,50.9330895511162,5.51202361169479,t of steel,1200000.0,0.7901759607848471,197986.4887342513,2024,1200000.0,948211.1529418165
1566440,ArcelorMittal Gent steel plant,BF/BOF,BEL,manufacturing,iron-and-steel,51.1710954920418,3.80755559465241,t of steel,5000000.0,0.7584650560773878,7205418.032735184,2024,5000000.0,3792325.2803869387
38471296,Avs Spinning Nv,Yarn Spinning,BEL,manufacturing,textiles-leather-apparel,50.7223824,3.3315012,USD,,,14457.116642619272,2024,,
18648342,"BASF Antwerpen, NV Antwerp ",Flex Standalone,BEL,manufacturing,petrochemical-steam-cracking,51.358825,4.262207,t of ethylene,1080000.0,0.753515,1409391.79809,2024,1080000.0,813796.2000000001
33999004,BEL-Antwerpen_ammonia,ammonia,BEL,manufacturing,chemicals,51.2319382905994,4.72070443222579,t of chemical,810156.0,0.5759307040176926,923855.5565794326,2024,810156.0,466593.7154441578
33998943,BEL-Hainaut_ammonia,ammonia,BEL,manufacturing,chemicals,50.4636955021351,3.97003361295229,t of chemical,231636.0,0.5759307040176925,264144.44342056767,2024,231636.0,133406.28455584223
38470810,Belimtex Bvba,Trader Of Yarns,BEL,manufacturing,textiles-leather-apparel,50.9068366,3.4059296,USD,,,14457.116642619272,2024,,
38480772,Beneo - Orafti,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.7245,5.3524,USD,,,103904.33440117889,2024,,
38480213,Boortmalt,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.275116,4.355684,USD,,,57693.59206699895,2024,,
44375332,Burgo Ardennes S.A.,Chemical wood pulp; Mechanical and semi-chemical wood pulp,BEL,manufacturing,pulp-and-paper,49.5518274,5.5054045,t of pulp & paper,450000.0,0.7217555555999999,188702.99004,2024,450000.0,324790.00002
38480849,Cargill,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.135671,3.784262,USD,,,57693.59206699895,2024,,
38480835,Cargill,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.280546,4.341369,USD,,,57693.59206699895,2024,,
38480248,Citrique Belge,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.80137,4.961948,USD,,,57693.59206699895,2024,,
38480243,Cl Warneton Sa,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.7424,2.9349,USD,,,57693.59206699895,2024,,
38480247,Coca-Cola European Partners Belgium,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.157,4.3745,USD,,,57693.59206699895,2024,,
38474256,Cousy Bvba,Final Product Assembly,BEL,manufacturing,textiles-leather-apparel,50.8802686,3.8167968,USD,,,14457.116642619272,2024,,
38480245,Deliva,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.916733,5.491459,USD,,,57693.59206699895,2024,,
