source_id,source_name,source_type,iso3_country,sector,subsector,lat,lon,gas,activity_units,capacity_units,emissions_factor,emissions_factor_units,temporal_granularity,year,months_reported,annual_output_t,annual_emissions_co2e_t,avg_monthly_capacity_t,avg_capacity_factor
44375353,Bahia Sul,Pulp misc.,BRA,manufacturing,pulp-and-paper,-18.04472222,-39.92138889,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999995063,t of CO2e_100yr per t of pulp & paper,month,2024,12,717481.0905,416856.51359,68820.11694416666,0.8687879871439111
44375369,Bonet Madeiras e Papéis ltda Pulp Mill,Pulp misc.,BRA,manufacturing,pulp-and-paper,-26.95722222,-50.42027778,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000088815,t of CO2e_100yr per t of pulp & paper,month,2024,12,607499.99999,352957.50001,58270.833335,0.8687879870913968
44375372,Bracell Celulose ltda - Sao Paolo - Bracell Group,Pulp misc.,BRA,manufacturing,pulp-and-paper,-22.54277778,-48.81138889,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000291731,t of CO2e_100yr per t of pulp & paper,month,2024,12,1181733.56048,686587.19886,113350.78085833334,0.8687879868285276
44375339,Braelll Celulose Ltda - Bahia - Bracell Group,Pulp misc.,BRA,manufacturing,pulp-and-paper,-12.64166667,-38.32833333,co2e_100yr,t of pulp & paper,t of pulp & paper,0.58100000009735,t of CO2e_100yr per t of pulp & paper,month,2024,12,316535.77523,183907.28543,30361.816299166665,0.8687879871623538
44375358,CMPC - Guaiba 2,Pulp misc.,BRA,manufacturing,pulp-and-paper,-30.13277778,-51.31944444,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000143718,t of CO2e_100yr per t of pulp & paper,month,2024,12,5676541.568399999,3298070.652,544488.5723083334,0.8687879870373706
44375359,CMPC Celulose Riograndense,Pulp misc.,BRA,manufacturing,pulp-and-paper,-30.13388889,-51.31666667,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999912221,t of CO2e_100yr per t of pulp & paper,month,2024,12,719591.32902,418082.56211999996,69022.52905,0.8687879872024383
44375376,Cacador Pulp Paperboard and Sacks,Pulp misc.,BRA,manufacturing,pulp-and-paper,-26.814678,-51.009853,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000088815,t of CO2e_100yr per t of pulp & paper,month,2024,12,607499.99999,352957.50001,58270.833335,0.8687879870913968
44375346,Cenibra - Pulp Mill Belo Oriente,Pulp misc.,BRA,manufacturing,pulp-and-paper,-19.319229,-42.395031,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999965032,t of CO2e_100yr per t of pulp & paper,month,2024,12,506457.2403,294251.65661,48578.90607999999,0.8687879870232506
44375347,Fabrica da Cenibra,Pulp misc.,BRA,manufacturing,pulp-and-paper,-19.32083333,-42.39361111,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999987224,t of CO2e_100yr per t of pulp & paper,month,2024,12,536000.5794,311416.33662,51412.67560083334,0.8687879871644251
44375371,IKPC Indústrias Klabin de Papel e Celulose S.A. - Monte Alegre Unit,Chemical wood pulp,BRA,manufacturing,pulp-and-paper,-24.30194444,-50.61777778,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000088815,t of CO2e_100yr per t of pulp & paper,month,2024,12,607499.99999,352957.50001,58270.833335,0.8687879870913968
