source_id,source_name,iso3_country,lat,lon,year,annual_yield_kwh_per_kwp,capacity_factor,pvgis_raddatabase,tilt_deg,azimuth_deg,system_loss_pct
44375538,Pietarsaari Pulp Mill,FIN,63.701563,22.706674,2023,1125.80565,0.12851662671232877,PVGIS-ERA5,63.701563,0,0.0
44375539,Rauma Pulp Mill,FIN,61.111671,21.466299,2023,1246.091,0.14224783105022828,PVGIS-ERA5,61.111671,0,0.0
44375531,Stora Enso Biomaterials - Enocell Pulp Mill,FIN,62.9212369,30.2292483,2023,982.49227,0.11215665182648402,PVGIS-ERA5,62.9212369,0,0.0
44375530,Stora Enso Oyj - Sunila Pulp Mill,FIN,60.4934978,26.9521607,2023,1210.98202,0.13823995662100455,PVGIS-ERA5,60.4934978,0,0.0
44375532,Stora Enso Oyj - Varkaus Mill,FIN,62.3246584,27.8961002,2023,1036.84874,0.11836172831050228,PVGIS-ERA5,62.3246584,0,0.0
44375533,Stora Enso Packaging Papers Varkaus,FIN,62.3195831,27.8991735,2023,1036.72707,0.11834783904109589,PVGIS-ERA5,62.3195831,0,0.0
44375523,UPM Group - Paper Industry,FIN,60.1671177,24.9517049,2023,1226.0783700000002,0.13996328424657536,PVGIS-ERA5,60.1671177,0,0.0
44375527,UPM Group - Paper Industry - Kaukas Mill,FIN,61.0663059,28.2307043,2023,1112.64546,0.1270143219178082,PVGIS-ERA5,61.0663059,0,0.0
44375528,UPM Group - Paper Industry - Pietarsaari Mill,FIN,63.6744036,22.6966088,2023,1114.99198,0.12728218949771689,PVGIS-ERA5,63.6744036,0,0.0
44375540,Alizay Papier SASU - VPK Group,FRA,49.318664,1.169947,2023,1289.4160299999999,0.1471936107305936,PVGIS-ERA5,49.318664,0,0.0
44375543,Facture Biganos Pulp and Paper Mill,FRA,44.629661,-0.975188,2023,1484.87897,0.16950673173515982,PVGIS-ERA5,44.629661,0,0.0
44375544,Golbey Pulp and Paper Mill,FRA,48.210464,6.425649,2023,1347.25098,0.15379577397260275,PVGIS-ERA5,48.210464,0,0.0
44375545,Mimizan Pulp and Paper Mill - Paper Bags,FRA,44.207946,-1.249265,2023,1540.00242,0.17579936301369864,PVGIS-ERA5,44.207946,0,0.0
44375542,Rayonier Advanced Materials,FRA,43.8313896,-0.826609,2023,1495.28541,0.1706946815068493,PVGIS-ERA5,43.8313896,0,0.0
44375546,Saillat-sur-Vienne Pulp and Paper Mill,FRA,45.876393,0.817428,2023,1398.24572,0.1596170913242009,PVGIS-ERA5,45.876393,0,0.0
44375547,Saint Gaudens Pulp Mill,FRA,43.096501,0.726795,2023,1598.4396000000002,0.18247027397260276,PVGIS-ERA5,43.096501,0,0.0
