energy_demand_type,Primary Steel (TWh),Secondary Steel (TWh),Chemicals (TWh),Cement (TWh),Pulp and Paper (TWh),"Food, Beverages and Tobacco (TWh)",Transport Equipment (TWh),Machinery and Equipment (TWh),Textiles and Leather (TWh),Wood and Wood Products (TWh),Non-ferrous Metals (TWh),Ceramics and Glass (TWh)
Electricity Other,0.0,0.09002127146174045,0.04110030110086848,0.05537024733999572,0.29432389881248516,0.0823838913697516,0.058559923126204325,0.3828669420147185,0.02448583514053099,0.07928205896499955,0.02375112737143398,0.0720680076095656
Electricity Thermal,0.0,0.3627740823811945,0.005088749312321411,0.001321360674897961,0.01619056267040144,0.07090016079380275,0.05776503190931085,0.3740147229638227,0.018523462244017474,0.011562714454581671,0.34839157346621236,0.08884771717099851
Non-electric process heat (100-400 C),0.0,0.0,0.0,0.0,0.0,0.013766096222588864,0.0,0.0,0.0,0.0,0.10920037974686778,0.05351427493397375
Non-electric process heat (400-1000 C),0.0,0.24435867259910607,0.013804218360350867,0.17424179395582728,0.06973196387825417,0.0,0.0,0.10261321818909103,0.0,0.0,0.008560591051490731,0.003998363161104193
Non-electric process heat (<100 C),0.0,0.002827418300905832,0.003759591482959229,0.0016642832271874812,0.17305110343576252,0.04805054808154205,0.017999821335799287,0.01612182477012059,0.011448687856227598,0.006982145045679873,0.003608436929975807,0.0038659067562760436
Non-electric process heat (>1000 C),0.0,0.12209324209424004,0.0,0.19549431757385674,0.0,0.0,0.02188196725753725,0.14387511758424004,0.0,0.0,0.08544246369176196,0.4755419387804938
Steam (non-electric boilers),0.0,0.05145227873735816,0.05397166099216895,0.0,0.6988719095343094,0.17978955783873704,0.03387701259962173,0.24195979270416496,0.02786299929799496,0.20441708795061123,0.038900054992788854,0.013901091434956962
