energy_demand_type,Primary Steel (TWh),Secondary Steel (TWh),Chemicals (TWh),Cement (TWh),Pulp and Paper (TWh),"Food, Beverages and Tobacco (TWh)",Transport Equipment (TWh),Machinery and Equipment (TWh),Textiles and Leather (TWh),Wood and Wood Products (TWh),Non-ferrous Metals (TWh),Ceramics and Glass (TWh)
Electricity Other,0.0,0.0,0.296849058151049,0.08141166672417326,0.06924606068783717,0.23749461999777297,0.015016750705629207,0.07224496480999301,0.044641129909583785,0.17768634453453616,0.0,0.03171665857568576
Electricity Thermal,0.0,0.0,0.015021263390827834,0.0022877111488551227,0.006385608821671721,0.21274152092621137,0.016958590007836418,0.0820708501469476,0.030533076163130436,0.02238314360140829,0.0,0.030182039132357195
Non-electric process heat (100-400 C),0.0,0.0,0.0,0.0,0.0,0.0342528581177121,0.0,0.0,0.0,0.0,0.0,0.01030339959856119
Non-electric process heat (400-1000 C),0.0,0.0,0.28999504394477504,0.06143552626669018,0.023275722799155275,0.0,0.0,0.013049173194049654,0.0,0.0,0.0,0.0038969282876732472
Non-electric process heat (<100 C),0.0,0.0,0.11155440076095952,0.01937746551445994,0.030922015097232906,0.1317593194850152,0.0033907586102182394,0.0027682764713891253,0.03551909697270087,0.022728348500215715,0.0,0.0019299485385348173
Non-electric process heat (>1000 C),0.0,0.0,0.0,0.5388063916009279,0.0,0.0,0.004456823613780458,0.021153304259228196,0.0,0.0,0.0,0.1317680377106821
Steam (non-electric boilers),0.0,0.0,1.2781706610810681,0.0,0.20494517968205153,0.4874012387854471,0.008717623946801041,0.047828271231766334,0.07836357803925657,0.3319741236778488,0.0,0.0025561954803274838
