energy_demand_type,Primary Steel (TWh),Secondary Steel (TWh),Chemicals (TWh),Cement (TWh),Pulp and Paper (TWh),"Food, Beverages and Tobacco (TWh)",Transport Equipment (TWh),Machinery and Equipment (TWh),Textiles and Leather (TWh),Wood and Wood Products (TWh),Non-ferrous Metals (TWh),Ceramics and Glass (TWh)
Electricity Other,0.0,0.0,0.0,0.21592080753071516,0.009400704030535967,0.40485772185963603,0.009561201236098294,0.3521249663211795,0.013071171189969095,0.15779702937881357,0.36231273137247244,0.12965220465885183
Electricity Thermal,0.0,0.0,0.0,0.007770511183463288,0.00048467696685953196,0.2646184840707747,0.007561465091204433,0.4450239240544297,0.007733183369073537,0.018543972167687495,0.016280922938902022,0.15991683969570325
Non-electric process heat (100-400 C),0.0,0.0,0.0,0.0,0.0,0.16789766030469547,0.0,0.0,0.0,0.0,0.7068063768422875,0.08985186482173783
Non-electric process heat (400-1000 C),0.0,0.0,0.0,0.7715306525783634,0.0024689294029063297,0.0,0.0,0.03628825922951716,0.0,0.0,0.005976972885777079,0.0077655332546058735
Non-electric process heat (<100 C),0.0,0.0,0.0,0.033466166858465415,0.008257065376294698,0.4415542793222007,0.004330971612284941,0.005384593027340457,0.036345512167031566,0.03215892447203944,0.00756150177791103,0.0047841630407131274
Non-electric process heat (>1000 C),0.0,0.0,0.0,0.7767091325006206,0.0,0.0,0.00479541872016445,0.07033691155268836,0.0,0.0,1.5565674780150847,0.8815424893205149
Steam (non-electric boilers),0.0,0.0,0.0,0.0,0.05413032009686231,1.499417697726691,0.006200688699834893,0.14689739807935992,0.06783342576100458,0.5959285390264076,0.013318703612797467,0.024733852271786632
