energy_demand_type,Primary Steel (TWh),Secondary Steel (TWh),Chemicals (TWh),Cement (TWh),Pulp and Paper (TWh),"Food, Beverages and Tobacco (TWh)",Transport Equipment (TWh),Machinery and Equipment (TWh),Textiles and Leather (TWh),Wood and Wood Products (TWh),Non-ferrous Metals (TWh),Ceramics and Glass (TWh)
Electricity Other,1.242724324940218,0.3743492739704006,1.1785633140752312,0.23388703461198557,10.975616342055194,0.5768087445257444,0.431209375475871,0.7182062839987691,0.05082123823679267,0.7664980514412167,0.4137559137710659,0.16330356106478267
Electricity Thermal,0.014529318658680393,0.6272889507554814,0.4979101244443815,0.010163393383760148,0.4203309472337648,0.6398022969858623,0.5894051767084489,1.0077372281701324,0.04763111340260757,0.10704332050022375,1.2218841664237343,0.1555367181299985
Non-electric process heat (100-400 C),0.0,0.0,0.0,0.0,0.0,0.026356930724177004,0.0,0.0,0.0,0.0,0.01870425674731429,0.027430524440711933
Non-electric process heat (400-1000 C),0.28155767965430445,0.14128868443555148,0.3449824657161616,0.42215265669559154,0.4356489088638656,0.0,0.0,0.048307273442866415,0.0,0.0,0.008186659683512083,0.01414124371088418
Non-electric process heat (<100 C),0.0021960833990981,0.00046803174823677337,0.060194263214486336,0.04245021538422954,21.437585818234087,0.1970751071439954,0.047740714844156755,0.00346376928039441,0.00528340286500927,0.08568059584166834,0.0006443418007534346,0.0014897837173133846
Non-electric process heat (>1000 C),3.0545198546217707,0.18294608181913893,0.0,0.4701813319228803,0.0,0.0,0.052704476256153605,0.09469694704104618,0.0,0.0,0.20327395414948193,0.38418015153150104
Steam (non-electric boilers),0.29625792934526796,0.05285660193062623,1.520685057070971,0.0,13.440585127970795,0.8635873674482174,0.47988911914684473,0.5929530807987018,0.023571278545122306,2.429471592859948,0.13192005760302006,0.011886013436131172
