energy_demand_type,Primary Steel (TWh),Secondary Steel (TWh),Chemicals (TWh),Cement (TWh),Pulp and Paper (TWh),"Food, Beverages and Tobacco (TWh)",Transport Equipment (TWh),Machinery and Equipment (TWh),Textiles and Leather (TWh),Wood and Wood Products (TWh),Non-ferrous Metals (TWh),Ceramics and Glass (TWh)
Electricity Other,0.0,0.05451271773968187,0.0,0.1039642334460945,0.11962710559417808,0.7779888927419198,0.026943982093396348,0.3922086776906083,0.0334087145958038,0.10286420928938797,0.0,0.19474155200420357
Electricity Thermal,0.0,0.1947585741903616,0.0,0.0004605068321697387,0.007622725190594871,0.6354997658991077,0.024064781397780743,0.3607498727546951,0.02482243413720622,0.008769693305878687,0.0,0.24166286365805342
Non-electric process heat (100-400 C),0.0,0.0,0.0,0.0,0.0,0.13063298371455456,0.0,0.0,0.0,0.0,0.0,0.20606997816548223
Non-electric process heat (400-1000 C),0.0,0.12392859165932624,0.0,0.11428371924863771,0.03967826776442425,0.0,0.0,0.11717448684947719,0.0,0.0,0.0,0.0074713765463946796
Non-electric process heat (<100 C),0.0,0.023342614949624207,0.0,0.09247030363297577,0.05576950133905638,0.613991977726622,0.01388677680559535,0.07498956737356824,0.018173654675322885,0.02631589563058908,0.0,0.15190055789889548
Non-electric process heat (>1000 C),0.0,0.09832846110509132,0.0,0.8983778149067815,0.0,0.0,0.011607544094588276,0.15979127769145923,0.0,0.0,0.0,1.7723399673408913
Steam (non-electric boilers),0.0,0.040320395460705254,0.0,0.0,0.27047285489422823,1.6644318317856504,0.023603895836435934,0.34993362399838585,0.03542905795585918,0.16646057585755358,0.0,0.07762790855926141
