energy_demand_type,Primary Steel (TWh),Secondary Steel (TWh),Chemicals (TWh),Cement (TWh),Pulp and Paper (TWh),"Food, Beverages and Tobacco (TWh)",Transport Equipment (TWh),Machinery and Equipment (TWh),Textiles and Leather (TWh),Wood and Wood Products (TWh),Non-ferrous Metals (TWh),Ceramics and Glass (TWh)
Electricity Other,1.2380285294671345,0.04386533756168877,0.9278761029769054,0.27630283702977626,0.7495984916435112,0.599123974973617,0.9543906916239809,1.3268273972930356,0.18761332510953857,0.26734563682635604,0.09707377007886936,0.4887737972562951
Electricity Thermal,0.002045571248839745,0.06208552046251862,0.09294195983735541,0.004405815165539462,0.010512587515515624,0.46655173593178495,0.8446476702070329,1.1918927752417061,0.11885060987242965,0.02928178885564064,0.08796513308958326,0.5174936502021614
Non-electric process heat (100-400 C),0.0,0.0,0.0,0.0,0.0,0.14528861904462512,0.0,0.0,0.0,0.0,0.01899566056210525,0.2831766911048165
Non-electric process heat (400-1000 C),0.20007292051750367,0.023608884410883397,0.7222898558047903,0.9574550495715274,0.0445336107617082,0.0,0.0,0.4305857097789502,0.0,0.0,0.02260153245854364,0.050010838258429384
Non-electric process heat (<100 C),0.041231234946297546,0.001198893483328457,0.23986404857852903,0.082273779562313,1.7434164692252208,0.46773157528672077,0.401570195920464,0.09245892766655632,0.22010726656189886,0.06003229886865461,0.0011035795349531542,0.05252405981919181
Non-electric process heat (>1000 C),4.38796530027427,0.026327321546393195,0.0,0.9663144229103537,0.0,0.0,0.44191981567425126,0.5802389632688376,0.0,0.0,0.16507419157783926,2.8316092817275447
Steam (non-electric boilers),0.5480985774349642,0.013345621583359345,2.4734261059951144,0.0,1.9115997947398289,1.6573608057747704,0.8320291779005061,1.077876227272285,0.43120747044995217,0.8300571555982023,0.049879196489928786,0.1033884709678276
