energy_demand_type,Primary Steel (TWh),Secondary Steel (TWh),Chemicals (TWh),Cement (TWh),Pulp and Paper (TWh),"Food, Beverages and Tobacco (TWh)",Transport Equipment (TWh),Machinery and Equipment (TWh),Textiles and Leather (TWh),Wood and Wood Products (TWh),Non-ferrous Metals (TWh),Ceramics and Glass (TWh)
Electricity Other,0.0,0.30072722355111137,0.13613883934978485,0.4927574898595198,0.1303184632556162,0.5581562538062292,0.012267122274245318,0.176156450302364,0.06873540337751112,0.049912091051605725,0.4617781148766536,0.12645872709234052
Electricity Thermal,0.0,0.3809629518496173,0.03269331470702249,0.02406902201031133,0.015178268219187207,0.5017905074992266,0.0160685224018306,0.16848730357853053,0.049226121013378955,0.007168508390942861,1.5229168100866302,0.17616748809361565
Non-electric process heat (100-400 C),0.0,0.0,0.0,0.0,0.0,0.09396415462184403,0.0,0.0,0.0,0.0,0.2894502271569843,0.07982521514672895
Non-electric process heat (400-1000 C),0.0,0.10559335193114214,0.05512376058516747,1.1490906295395167,0.04780669647997472,0.0,0.0,0.04788891090156405,0.0,0.0,0.02683101213167973,0.003706319319912316
Non-electric process heat (<100 C),0.0,0.0006704526575212001,0.011580265850121362,0.006368438553234079,0.039420602838722826,0.3128043521255796,0.0013840252650391158,0.004501381338235315,0.04329299837647525,0.0052702227064287035,0.005319657843044414,0.002007812714030315
Non-electric process heat (>1000 C),0.0,0.12369919599214917,0.0,1.5572741750986019,0.0,0.0,0.0010876640886883472,0.06129166441467162,0.0,0.0,0.8982229429236916,0.705843121514355
Steam (non-electric boilers),0.0,0.027603774621624062,0.16414561209532214,0.0,0.2687842351920041,1.209787320606681,0.005610994806980415,0.09846622224350235,0.09795073388482325,0.10832950851844247,0.0944827740148674,0.021126414124529726
