iso3_country,year,technology,income_group,wb_region,capex_$/kw,fom_$/kw/yr,vom_$/mwh,lcoe_$/mwh,wacc_nominal,crf,annual_cost_$/kw/yr,data_source,capex_source,crf_source,proxy_peers,country_name
BDI,2030,PV fixed-axis,LIC,Sub-Saharan Africa,462.06,11.5,0,34.46,,0.144433,78.24,proxied,global_mean,peer_mean,ARE|AUS|CAN|CHN|DEU|ESP|FRA|GBR|IDN|IND|ITA|JPN|KOR|MYS|PHL|THA|USA|VNM|ZAF,Burundi
BEL,2025,PV fixed-axis,HIC,Europe & Central Asia,505.11,11.1583,0,41.62,0.041511,0.065039,44.01,proxied,peer_mean_region_income,irena,DEU|ESP|FRA|GBR|ITA,Belgium
BEL,2030,PV fixed-axis,HIC,Europe & Central Asia,429.06,10.4559,0,35.54,0.041511,0.065039,38.36,proxied,peer_mean_region_income,irena,DEU|ESP|FRA|GBR|ITA,Belgium
BEN,2025,PV fixed-axis,LIC,Sub-Saharan Africa,573.91,12.2751,0,44.09,,0.144433,95.17,proxied,global_mean,peer_mean,ARE|AUS|CAN|CHN|DEU|ESP|FRA|GBR|IDN|IND|ITA|JPN|KOR|MYS|PHL|THA|USA|VNM|ZAF,Benin
BEN,2030,PV fixed-axis,LIC,Sub-Saharan Africa,462.06,11.5,0,34.46,,0.144433,78.24,proxied,global_mean,peer_mean,ARE|AUS|CAN|CHN|DEU|ESP|FRA|GBR|IDN|IND|ITA|JPN|KOR|MYS|PHL|THA|USA|VNM|ZAF,Benin
BFA,2025,PV fixed-axis,LIC,Sub-Saharan Africa,573.91,12.2751,0,44.09,0.081874,0.095183,66.9,proxied,global_mean,irena,ARE|AUS|CAN|CHN|DEU|ESP|FRA|GBR|IDN|IND|ITA|JPN|KOR|MYS|PHL|THA|USA|VNM|ZAF,Burkina Faso
BFA,2030,PV fixed-axis,LIC,Sub-Saharan Africa,462.06,11.5,0,34.46,0.081874,0.095183,55.48,proxied,global_mean,irena,ARE|AUS|CAN|CHN|DEU|ESP|FRA|GBR|IDN|IND|ITA|JPN|KOR|MYS|PHL|THA|USA|VNM|ZAF,Burkina Faso
BGD,2025,PV fixed-axis,LMIC,South Asia,358.73,5.0176,0,25.14,0.132845,0.138993,54.88,proxied,peer_mean_region_income,irena,IND,Bangladesh
BGD,2030,PV fixed-axis,LMIC,South Asia,324.97,4.7021,0,19.48,0.132845,0.138993,49.87,proxied,peer_mean_region_income,irena,IND,Bangladesh
BGR,2025,PV fixed-axis,UMIC,Europe & Central Asia,535.15,10.7181,0,43.04,0.072876,0.088045,57.84,proxied,peer_mean_income,irena,CHN|IDN|MYS|THA|ZAF,Bulgaria
BGR,2030,PV fixed-axis,UMIC,Europe & Central Asia,427.3,10.0509,0,32.32,0.072876,0.088045,47.67,proxied,peer_mean_income,irena,CHN|IDN|MYS|THA|ZAF,Bulgaria
BHR,2025,PV fixed-axis,HIC,Middle East & North Africa,492.19,11.8838,0,28.97,,0.088623,55.5,proxied,peer_mean_region_income,peer_mean,ARE,Bahrain
BHR,2030,PV fixed-axis,HIC,Middle East & North Africa,446.22,11.1281,0,24.91,,0.088623,50.67,proxied,peer_mean_region_income,peer_mean,ARE,Bahrain
BHS,2025,PV fixed-axis,HIC,Latin America & Caribbean,623.4,13.9697,0,45.95,,0.089378,69.69,proxied,peer_mean_income,peer_mean,ARE|AUS|CAN|DEU|ESP|FRA|GBR|ITA|JPN|KOR|USA,Bahamas
BHS,2030,PV fixed-axis,HIC,Latin America & Caribbean,497.26,13.0839,0,36.88,,0.089378,57.53,proxied,peer_mean_income,peer_mean,ARE|AUS|CAN|DEU|ESP|FRA|GBR|ITA|JPN|KOR|USA,Bahamas
BIH,2025,PV fixed-axis,UMIC,Europe & Central Asia,535.15,10.7181,0,43.04,0.126474,0.133261,82.03,proxied,peer_mean_income,irena,CHN|IDN|MYS|THA|ZAF,Bosnia and Herzegovina
BIH,2030,PV fixed-axis,UMIC,Europe & Central Asia,427.3,10.0509,0,32.32,0.126474,0.133261,66.99,proxied,peer_mean_income,irena,CHN|IDN|MYS|THA|ZAF,Bosnia and Herzegovina
BLR,2025,PV fixed-axis,UMIC,Europe & Central Asia,535.15,10.7181,0,43.04,0.157978,0.162121,97.48,proxied,peer_mean_income,irena,CHN|IDN|MYS|THA|ZAF,Belarus
BLR,2030,PV fixed-axis,UMIC,Europe & Central Asia,427.3,10.0509,0,32.32,0.157978,0.162121,79.33,proxied,peer_mean_income,irena,CHN|IDN|MYS|THA|ZAF,Belarus
BLZ,2025,PV fixed-axis,UMIC,Latin America & Caribbean,535.15,10.7181,0,43.04,,0.333547,189.21,proxied,peer_mean_income,peer_mean,CHN|IDN|MYS|THA|ZAF,Belize
BLZ,2030,PV fixed-axis,UMIC,Latin America & Caribbean,427.3,10.0509,0,32.32,,0.333547,152.58,proxied,peer_mean_income,peer_mean,CHN|IDN|MYS|THA|ZAF,Belize
BOL,2025,PV fixed-axis,LMIC,Latin America & Caribbean,457.05,8.6566,0,39.05,0.255061,0.255935,125.63,proxied,peer_mean_income,irena,IND|PHL|VNM,"Bolivia, Plurinational State of"
BOL,2030,PV fixed-axis,LMIC,Latin America & Caribbean,390.9,8.1074,0,29.11,0.255061,0.255935,108.15,proxied,peer_mean_income,irena,IND|PHL|VNM,"Bolivia, Plurinational State of"
BRA,2025,PV fixed-axis,UMIC,Latin America & Caribbean,535.15,10.7181,0,43.04,0.101799,0.111696,70.49,proxied,peer_mean_income,irena,CHN|IDN|MYS|THA|ZAF,Brazil
BRA,2030,PV fixed-axis,UMIC,Latin America & Caribbean,427.3,10.0509,0,32.32,0.101799,0.111696,57.78,proxied,peer_mean_income,irena,CHN|IDN|MYS|THA|ZAF,Brazil
BRB,2025,PV fixed-axis,HIC,Latin America & Caribbean,623.4,13.9697,0,45.95,,0.089378,69.69,proxied,peer_mean_income,peer_mean,ARE|AUS|CAN|DEU|ESP|FRA|GBR|ITA|JPN|KOR|USA,Barbados
BRB,2030,PV fixed-axis,HIC,Latin America & Caribbean,497.26,13.0839,0,36.88,,0.089378,57.53,proxied,peer_mean_income,peer_mean,ARE|AUS|CAN|DEU|ESP|FRA|GBR|ITA|JPN|KOR|USA,Barbados
BRN,2025,PV fixed-axis,HIC,East Asia & Pacific,771.49,18.4174,0,55.59,,0.075773,76.88,proxied,peer_mean_region_income,peer_mean,AUS|JPN|KOR,Brunei Darussalam
