source_id,source_name,lat,lon,country_iso3
44375660,SCA Massa Östrands massafabrik SCA Graphic Sundsvall AB Pulp Mill,62.4854563,17.3248651,SWE
44375659,SCA Ortviken Pulp Mill,62.390811,17.306927,SWE
44375653,Stora Enso Consumer Board Fors Mill,60.128161,18.643501,SWE
44375658,Stora Enso Packaging Boards Skoghall Mill - Udden,59.3234598,13.4595214,SWE
44375657,Sylvamo Nymölla Mill - Sylvamo Pulp Mill,56.043586,14.4629943,SWE
44375654,Södra Cell AB - Södra Cell Mönsterås,57.0932528661614,16.5531215056192,SWE
44375655,Södra Cell AB - Södra Cell Mörrum,56.1938314,14.748156,SWE
44375661,Södra Cell AB - Södra Cell Värö,57.2502804,12.1823234,SWE
44375663,Södra Cell Virkesvägen 1,57.2850024822815,12.4442615189103,SWE
44375662,Södra Cell Värö,57.2600040100003,12.1769718719116,SWE
