country,sector,nace,total_tj,fossil_sum_tj,fossil_share,data_available,lookup_key
Luxembourg,C1711 — Pulp only,C1711,,0.0,,No,Luxembourg|C1711
Malta,C17 — All paper & pulp,C17,30.362,16.0,0.5269745076081945,Yes,Malta|C17
Malta,C17_X_C1711 — Paper excl. pulp,C17xP,30.362,16.0,0.5269745076081945,Yes,Malta|C17xP
Malta,C1711 — Pulp only,C1711,0.0,0.0,,Yes,Malta|C1711
Moldova,C17 — All paper & pulp,C17,64.772,19.7,0.30414376582473907,Yes,Moldova|C17
Moldova,C17_X_C1711 — Paper excl. pulp,C17xP,64.772,19.7,0.30414376582473907,Yes,Moldova|C17xP
Moldova,C1711 — Pulp only,C1711,,0.0,,No,Moldova|C1711
Montenegro,C17 — All paper & pulp,C17,44.145,27.9,0.6320081549439347,Yes,Montenegro|C17
Montenegro,C17_X_C1711 — Paper excl. pulp,C17xP,30.173,14.0,0.46399098531799954,Yes,Montenegro|C17xP
Montenegro,C1711 — Pulp only,C1711,13.973,14.0,1.001932298003292,Yes,Montenegro|C1711
Netherlands,C17 — All paper & pulp,C17,,9870.0,,No,Netherlands|C17
Netherlands,C17_X_C1711 — Paper excl. pulp,C17xP,,9870.0,,No,Netherlands|C17xP
Netherlands,C1711 — Pulp only,C1711,,0.0,,No,Netherlands|C1711
Norway,C17 — All paper & pulp,C17,15050.158,1114.2,0.07403244537366319,Yes,Norway|C17
Norway,C17_X_C1711 — Paper excl. pulp,C17xP,11440.082,468.4,0.040943762466038265,Yes,Norway|C17xP
Norway,C1711 — Pulp only,C1711,3610.076,645.8,0.1788882006916198,Yes,Norway|C1711
Poland,C17 — All paper & pulp,C17,59148.791,14365.3,0.24286717880674855,Yes,Poland|C17
Poland,C17_X_C1711 — Paper excl. pulp,C17xP,57598.697,13692.7,0.23772586383334332,Yes,Poland|C17xP
Poland,C1711 — Pulp only,C1711,1550.094,672.6,0.4339091693794054,Yes,Poland|C1711
Portugal,C17 — All paper & pulp,C17,53802.848,7561.1,0.14053345280160634,Yes,Portugal|C17
