sector,total_twh,fossil_twh,biomass_twh,fossil_pct
Chemicals,200.8114020662828,200.8114020662828,0.0,100.0
"Food, Bev & Tobacco",110.50933716137003,110.50933716137003,0.0,100.0
Steel,101.75055150199395,101.75055150199395,0.0,100.0
Cement (+lime),78.21551029502702,78.21551029502702,0.0,100.0
Pulp & Paper,54.05279586608475,9.432831229364417,44.61996463672033,17.45114397548308
Textiles & Leather,17.453258564967015,17.453258564967015,0.0,100.0
Glass,16.263418925,16.263418925,0.0,100.0
Non-ferrous Metals,10.11480193397677,10.11480193397677,0.0,100.0
TOTAL,589.1710763147023,544.551111677982,44.61996463672033,92.42665391590154
