sector,reference_twh,cc,bottom_up_twh,coverage_pct
Cement (+lime),2.134621833093034,AT,1.5058374034988666,70.543521112446
Ceramics & Glass,2.979150226403116,AT,0.25207810875000003,8.46140978443867
Chemicals,3.4813915500477677,AT,4.571296348200326,131.30658480910034
"Food, Bev & Tobacco",1.9878232893313061,AT,1.9878232893313064,100.00000000000001
Non-ferrous Metals,0.6901336843705259,AT,0.0,0.0
Pulp & Paper,12.575828618563612,AT,2.8023460978274994,22.28359007446126
Steel,4.718835971669739,AT,6.113087062684952,129.5465046758526
Textiles & Leather,0.2239095005677431,AT,0.2840664420621208,126.86663198383464
Cement (+lime),2.7166179581444765,BE,2.3057483779077352,84.87569520016807
Ceramics & Glass,4.420298899168898,BE,0.493862305625,11.172599792241554
Chemicals,16.596842276393907,BE,17.299665559641003,104.23468073952078
"Food, Bev & Tobacco",6.3399962548022,BE,6.042878699621341,95.3136004622115
Non-ferrous Metals,0.7601184031209137,BE,0.0,0.0
Pulp & Paper,3.8942859001584713,BE,0.80520854171625,20.676667362390713
Steel,4.48671833702104,BE,4.691843537839043,104.57183146812368
Textiles & Leather,0.4621824060123074,BE,0.5557160559954044,120.23738869467184
Cement (+lime),1.069828816043586,BG,1.1023871797908666,103.04332461969823
Ceramics & Glass,1.8765238149155499,BG,0.32081618562499997,17.096302379697633
Chemicals,1.749914401728335,BG,5.0218653847409795,286.977773300285
"Food, Bev & Tobacco",0.893007834863573,BG,0.8930078348635729,99.99999999999999
Non-ferrous Metals,0.3756470400146193,BG,0.0,0.0
Pulp & Paper,0.8765760220776608,BG,0.7018179927637082,80.06356266741803
Steel,0.2513573033653876,BG,0.21874999999999994,87.02750907619829
Textiles & Leather,0.1597946052188255,BG,0.15114246604698583,94.58546228141353
Cement (+lime),0.6509644620282184,CY,0.33838975808399996,51.982831294610854
Ceramics & Glass,0.2095400690967345,CY,0.0,0.0
Chemicals,0.0,CY,0.0,
"Food, Bev & Tobacco",0.1235404153426588,CY,0.0,0.0
Non-ferrous Metals,0.0,CY,0.0,
Pulp & Paper,0.0,CY,0.0,
Steel,0.0,CY,0.0,
Textiles & Leather,5.567884079435152e-05,CY,0.0,0.0
Cement (+lime),2.006043252044194,CZ,1.4946164930619998,74.50569630235833
Ceramics & Glass,3.32070934187781,CZ,0.893667636875,26.91194997420776
Chemicals,3.435580010378434,CZ,3.8232141333645,111.28293102809641
"Food, Bev & Tobacco",2.2703810001061164,CZ,2.2703810001061164,100.0
Non-ferrous Metals,0.2576541606233698,CZ,0.0,0.0
