classification,sites,annual_output_mt,heat_demand_twh,replaceable_heat_twh,avg_intensity_mwh_per_t,avg_fossil_share
Pulp,32,11.452552419197001,45.810209676788006,4.124455082066246,4.0,0.12244444444444445
Integrated,25,7.800651259377,39.003256296885,8.851387293913678,5.0,0.24399565217391306
Paper/Board,28,9.693089457639003,12.6010162949307,3.0359961644451667,1.3,0.26900434782608695
Tissue,3,1.63079659368,4.240071143568,1.7240371628872626,2.6,0.41283333333333333
